Symbol,Weekly_StdDev,Weekly_ATR,Weekly_WoW,Trend_13W
HSCL.NS,6.725071317205228,11.137504577636719,-2.8421579009897746,-0.8243176718899937
ABCAPITAL.NS,4.892747226413188,8.387496948242188,0.3902422011106272,24.55472989752785
BRIGADE.NS,5.165353036455346,25.274993896484375,-1.505978425007585,-7.201152371909515
CRAFTSMAN.NS,4.711238385436,217.125,-2.4005631819781765,2.287147705474399
ANANTRAJ.NS,7.112063085277355,23.95000457763672,-2.033063358390258,-19.4878269941216
TARIL.NS,8.398699156908467,12.824996948242188,-0.8864461371173242,-56.01348662023131
HEG.NS,6.866238760492177,15.275009155273438,5.408265977725744,5.23641509668105
CENTURYPLY.NS,4.574358823907954,33.0625,5.258892628080162,3.502643808521979
EMCURE.NS,5.5268427748668,36.82501220703125,0.6589366540562894,4.685290459148045
IIFL.NS,6.917278699964929,16.975021362304688,-0.3161478651362584,24.997247671274494
BLUEJET.NS,6.835352280713648,18.175003051757812,-1.1292625146171698,-20.752078514502507
GMDCLTD.NS,7.569033635029847,19.0625,-6.045885525864596,-15.514378444864091
VENTIVE.NS,6.303529321927755,17.9000244140625,-2.4460612195104154,-7.715303943573286
PHOENIXLTD.NS,4.808384391467068,44.675018310546875,0.2840429240860772,6.147990438699629
FEDERALBNK.NS,3.9551442260740033,4.3249969482421875,0.3279226643163109,31.391466349443387
ADVENTHTL.NS,12.989746956017953,22.835002899169922,9.531369278119186,
LATENTVIEW.NS,4.995774146802534,34.23750305175781,6.398315922385859,12.988693618397887
MANYAVAR.NS,4.198981291832316,19.287506103515625,-1.0715821538823775,-17.65730811267011
SARDAEN.NS,6.246773444648411,16.92499542236328,2.931592205636847,-14.616932459253329
FSL.NS,5.4211262310947115,9.262504577636719,-2.7809780681511165,-10.23150158020642
JUBLINGREA.NS,6.046839230482542,42.58750915527344,-2.0369562416196545,-0.08161873011726613
NEULANDLAB.NS,7.7888735338822555,716.5,-3.3280037898975543,5.54729423934829
AIAENG.NS,3.699367078171381,144.60003662109375,-2.265124215893232,19.69495323066125
GODREJCP.NS,3.787518873400119,19.72503662109375,-0.44894151284661094,-8.317402768133011
IDBI.NS,6.344645433729636,2.7275009155273438,-2.135525460440611,1.6638198837998324
INDIAMART.NS,4.973099253631146,48.4000244140625,-3.576368909549506,-9.714129292108868
MAHSEAMLES.NS,5.333324288405956,17.75,-2.9206038061473016,-12.014589617193785
GRANULES.NS,4.741177798430258,17.037521362304688,-1.12329287103685,2.0518886415084423
NIVABUPA.NS,5.525769787282383,1.5550003051757812,0.3674423390468304,-10.486708889008654
CHENNPETRO.NS,7.41918235085938,31.887496948242188,0.7380246087114918,25.94288378936229
MUTHOOTFIN.NS,3.996073100788195,51.1500244140625,-0.9868161110579298,28.201990625012996
KIRLOSENG.NS,6.620493515329389,45.8499755859375,-1.4856781130789027,15.482296356821646
AKUMS.NS,7.403239800588601,8.175003051757812,0.5714271182105655,-11.353621427810205
MAHABANK.NS,5.956702679339201,1.2000007629394531,-0.38610253153836804,-0.9769737897287212
JPPOWER.NS,8.425172654903967,0.7050004005432129,-3.5412266046099568,-2.301928790957452
GODREJPROP.NS,5.402485175813716,78.02496337890625,-3.457543282087717,-6.283793111414826
INDIANB.NS,5.799201935192273,22.88751220703125,-2.7937494628913875,12.095506141972558
RHIM.NS,5.311588109791207,11.987510681152344,-1.522442155130694,-9.093727280141147
CHOLAFIN.NS,4.465819848138235,38.925018310546875,0.21382056863573237,9.001191085191941
KPIL.NS,5.07038532057193,35.57501220703125,0.48909825403005375,-7.714737936490347
YESBANK.NS,5.6390155792834324,0.5550003051757812,-3.849561170568531,2.645250183864984
AUBANK.NS,4.539271061535313,19.5,2.654314528571562,37.21997988820724
CAMPUS.NS,5.0529191566967935,8.262489318847656,-2.4822113551898375,-5.717314931383109
LUPIN.NS,3.6898055895714994,30.049957275390625,-2.210794044448529,-0.15568180387560754
DELHIVERY.NS,5.58108009290577,14.13751220703125,0.7044009047262495,-14.901833209066192
HINDCOPPER.NS,8.286449419343562,13.224990844726562,-2.9178448098492704,27.624980094416124
HINDZINC.NS,5.23413327397641,11.98748779296875,4.396706209221186,14.777621457000356
KARURVYSYA.NS,5.349684095711434,5.885002136230469,-2.7926628435349037,11.069163530551444
WELCORP.NS,6.509807915726242,24.199996948242188,-3.962013182589932,-12.165303572920298
VEDL.NS,5.2567466250307655,13.287483215332031,0.648241070364633,15.869187300695467
JMFINANCIL.NS,5.667955998079568,5.0625,-1.11534786828281,-17.565896536177263
ABLBL.NS,3.974217344964283,2.970003128051758,0.9568227913956812,-8.24378072740752
SOBHA.NS,7.00543998546796,46.850006103515625,-6.704389022149989,-10.061434610883268
THELEELA.NS,3.9245670803887696,11.174995422363281,-2.0490242354454744,-7.182845478614502
BANKBARODA.NS,4.90339715377398,6.837493896484375,-1.8113527682811608,13.971749328024313
SBFC.NS,4.003158501681433,2.105001449584961,-0.9409993710254296,-2.0197372943315814
NAVA.NS,7.246025839194339,23.25,5.338141011147496,-22.266559108172608
CEATLTD.NS,5.233158075862565,101.324951171875,-2.97166183976141,11.618871189256433
BHEL.NS,6.454838262644039,8.224998474121094,-0.45004500450045004,16.58304260011775
HEROMOTOCO.NS,3.6530068010412116,148.125,-6.401070781828203,9.911242603550296
IDFCFIRSTB.NS,4.429671736592959,1.8925018310546875,-0.19785292033533108,12.487803602052484
BALKRISIND.NS,3.896821236976425,35.79998779296875,-3.000419639110365,-8.215138606434195
FINPIPE.NS,5.112732404970072,4.907497406005859,-2.4064371824732067,-23.907431794260425
