Symbol,Latest_0830,P1D_0830,P1W_0830,P1M_0830,P3M_0830,P6M_0830,P1Y_0830,R1D_0830,R1W_0830,R1M_0830,R3M_0830,R6M_0830,R1Y_0830,Latest_1530,P1D_1530,P1W_1530,P1M_1530,P3M_1530,P6M_1530,P1Y_1530,R1D_1530,R1W_1530,R1M_1530,R3M_1530,R6M_1530,R1Y_1530
HSCL.NS,462.8999938964844,462.8999938964844,470.3500061035156,483.2000122070313,460.0,513.0999755859375,539.46728515625,0.0,-1.583929437728472,-4.201162623698187,0.6304334557574729,-9.78366479790356,-14.193129660789136,448.9500122070313,448.9500122070313,470.3500061035156,483.2000122070313,460.0,513.0999755859375,539.46728515625,0.0,-4.549801981245136,-7.088162072588129,-2.4021712593410327,-12.50242962994684,-16.779010598020147
ABCAPITAL.NS,361.0,361.0,350.8500061035156,348.70001220703125,299.29998779296875,271.5,177.17999267578125,0.0,2.8929724155369394,3.5273838148494137,20.61477271081958,32.96500920810313,103.74760973186623,355.3500061035156,355.3500061035156,350.8500061035156,348.70001220703125,299.29998779296875,271.5,177.17999267578125,0.0,1.2825993791410422,1.9070816357001212,18.727036617628496,30.88398014862454,100.5587655451396
BRIGADE.NS,790.2000122070312,790.2000122070312,842.4000244140625,873.75,979.0999755859376,1088.2001953125,1134.0821533203125,0.0,-6.19658246607238,-9.56223036257153,-19.29322521592956,-27.38468384669712,-30.32250706939345,792.0499877929688,792.0499877929688,842.4000244140625,873.75,979.0999755859376,1088.2001953125,1134.0821533203125,0.0,-5.976974734315219,-9.350502112392704,-19.10427866991107,-27.214680607044496,-30.15938171021897
CRAFTSMAN.NS,7535.5,7535.5,7686.5,7042.5,6739.5,5955.0,4729.263671875,0.0,-1.9644831848045277,7.0003549875754345,11.810965205133911,26.5407220822838,59.33770080982646,7410.0,7410.0,7686.5,7042.5,6739.5,5955.0,4729.263671875,0.0,-3.597215898002992,5.218317358892439,9.948809258847096,24.43324937027708,56.68401074922885
ANANTRAJ.NS,530.0999755859375,530.0999755859375,552.0,561.2999877929688,636.0,606.4700317382812,918.494384765625,0.0,-3.9673957271852354,-5.55852714868384,-16.650947234915485,-12.59255233658451,-42.285986242452125,518.2000122070312,518.2000122070312,552.0,561.2999877929688,636.0,606.4700317382812,918.494384765625,0.0,-6.1231861943783965,-7.678599059908514,-18.52201065927181,-14.554720746587927,-43.58158081290155
TARIL.NS,249.1499938964844,249.1499938964844,271.29998779296875,282.1000061035156,486.8999938964844,510.75,487.9975891113281,0.0,-8.164391777778928,-11.680259303128253,-48.829329016287886,-51.21879708340982,-48.94442114966163,242.1999969482422,242.1999969482422,271.29998779296875,282.1000061035156,486.8999938964844,510.75,487.9975891113281,0.0,-10.726130539649343,-14.14392353491558,-50.25672623036955,-52.57954048982042,-50.36860788814502
HEG.NS,577.7000122070312,577.7000122070312,565.0,530.0499877929688,506.7999877929688,530.0115966796875,430.5160827636719,0.0,2.2477897711559733,8.989722764162016,13.98974469648678,8.997617377825836,34.18778887388389,558.75,558.75,565.0,530.0499877929688,506.7999877929688,530.0115966796875,430.5160827636719,0.0,-1.106194690265487,5.414585957549561,10.250594605036412,5.422221608045409,29.78609217410376
CENTURYPLY.NS,728.6500244140625,728.6500244140625,765.4500122070312,818.0,758.2999877929688,729.7752685546875,777.66455078125,0.0,-4.8076278275655,-10.922979900481357,-3.910057214322584,-0.1541905007076404,-6.302785219918665,725.9500122070312,725.9500122070312,765.4500122070312,818.0,758.2999877929688,729.7752685546875,777.66455078125,0.0,-5.160363102759535,-11.25305474241672,-4.266118436859278,-0.5241690849886064,-6.649980190336023
EMCURE.NS,1544.5,1544.5,1550.5999755859375,1387.800048828125,1339.0,1255.603515625,1348.4615478515625,0.0,-0.3933945364362884,11.291248426183175,15.347274085138164,23.00857561960524,14.53793417103928,1535.800048828125,1535.800048828125,1550.5999755859375,1387.800048828125,1339.0,1255.603515625,1348.4615478515625,0.0,-0.9544645292684166,10.664360483700298,14.697539120845782,22.31568562179853,13.892758104599997
IIFL.NS,642.25,642.25,635.3499755859375,569.3499755859375,499.7000122070313,525.0,402.0,0.0,1.086019466310533,12.804079659270837,28.527113130009035,22.33333333333333,59.7636815920398,630.5999755859375,630.5999755859375,635.3499755859375,569.3499755859375,499.7000122070313,525.0,402.0,0.0,-0.7476194510937719,10.757882256333732,26.195709461914717,20.11428106398809,56.86566556864116
