Symbol,Latest_0830,P1D_0830,P1W_0830,P1M_0830,P3M_0830,P6M_0830,P1Y_0830,R1D_0830,R1W_0830,R1M_0830,R3M_0830,R6M_0830,R1Y_0830,Latest_1530,P1D_1530,P1W_1530,P1M_1530,P3M_1530,P6M_1530,P1Y_1530,R1D_1530,R1W_1530,R1M_1530,R3M_1530,R6M_1530,R1Y_1530
HSCL.NS,489.7000122070313,489.7000122070313,470.8999938964844,451.3999938964844,451.5499877929688,469.2999877929688,413.1770935058594,0.0,3.992359004931224,8.484718393534113,8.448682415102603,4.346904953055731,18.520610146091432,489.7000122070313,489.7000122070313,470.8999938964844,451.3999938964844,451.5499877929688,469.2999877929688,413.1770935058594,0.0,3.992359004931224,8.484718393534113,8.448682415102603,4.346904953055731,18.520610146091432
ABCAPITAL.NS,344.8500061035156,344.8500061035156,345.04998779296875,346.25,330.6499938964844,268.04998779296875,152.74000549316406,0.0,-0.0579573095284717,-0.404330367215704,4.294575070059372,28.651379148677364,125.77582408097368,344.8500061035156,344.8500061035156,345.04998779296875,346.25,330.6499938964844,268.04998779296875,152.74000549316406,0.0,-0.0579573095284717,-0.404330367215704,4.294575070059372,28.651379148677364,125.77582408097368
BRIGADE.NS,740.6500244140625,740.6500244140625,747.7999877929688,770.5999755859375,925.2000122070312,971.7000122070312,1014.190673828125,0.0,-0.9561331232444128,-3.886575671002597,-19.94703689559314,-23.77791343937341,-26.97132368428971,740.6500244140625,740.6500244140625,747.7999877929688,770.5999755859375,925.2000122070312,971.7000122070312,1014.190673828125,0.0,-0.9561331232444128,-3.886575671002597,-19.94703689559314,-23.77791343937341,-26.97132368428971
CRAFTSMAN.NS,8038.0,8038.0,7737.0,7392.5,6707.0,6859.0,4009.720458984375,0.0,3.890396794623239,8.731822793371661,19.844938124347696,17.189094620207026,100.46285226666276,8038.0,8038.0,7737.0,7392.5,6707.0,6859.0,4009.720458984375,0.0,3.890396794623239,8.731822793371661,19.844938124347696,17.189094620207026,100.46285226666276
ANANTRAJ.NS,548.7000122070312,548.7000122070312,543.6500244140625,521.5,617.5499877929688,536.4500122070312,554.7822265625,0.0,0.92890417845774,5.215726214195829,-11.148891093334324,2.2835305659891345,-1.096324659345147,548.7000122070312,548.7000122070312,543.6500244140625,521.5,617.5499877929688,536.4500122070312,554.7822265625,0.0,0.92890417845774,5.215726214195829,-11.148891093334324,2.2835305659891345,-1.096324659345147
TARIL.NS,313.8599853515625,313.8599853515625,270.5599975585937,243.3999938964844,307.8999938964844,526.1500244140625,423.7992248535156,0.0,16.0038395120075,28.94823057598106,1.9356906700952603,-40.347815112032535,-25.941349831386116,313.8599853515625,313.8599853515625,270.5599975585937,243.3999938964844,307.8999938964844,526.1500244140625,423.7992248535156,0.0,16.0038395120075,28.94823057598106,1.9356906700952603,-40.347815112032535,-25.941349831386116
HEG.NS,556.4500122070312,556.4500122070312,530.9000244140625,547.75,520.0999755859375,505.2000122070313,339.4405822753906,0.0,4.812579886611883,1.5883180660942493,6.989047938358832,10.144496983701124,63.9314923622124,556.4500122070312,556.4500122070312,530.9000244140625,547.75,520.0999755859375,505.2000122070313,339.4405822753906,0.0,4.812579886611883,1.5883180660942493,6.989047938358832,10.144496983701124,63.9314923622124
CENTURYPLY.NS,752.9000244140625,752.9000244140625,766.0,743.3499755859375,780.8499755859375,735.1683959960938,772.5709838867188,0.0,-1.7101795804095952,1.2847311685989198,-3.5794265282395377,2.411913857361051,-2.5461685570552803,752.9000244140625,752.9000244140625,766.0,743.3499755859375,780.8499755859375,735.1683959960938,772.5709838867188,0.0,-1.7101795804095952,1.2847311685989198,-3.5794265282395377,2.411913857361051,-2.5461685570552803
EMCURE.NS,1437.9000244140625,1437.9000244140625,1470.4000244140625,1557.9000244140625,1360.5,1382.8404541015625,1070.7857666015625,0.0,-2.2102828795144287,-7.702676559436661,5.689086689751011,3.9816285493522425,34.28456646165923,1437.9000244140625,1437.9000244140625,1470.4000244140625,1557.9000244140625,1360.5,1382.8404541015625,1070.7857666015625,0.0,-2.2102828795144287,-7.702676559436661,5.689086689751011,3.9816285493522425,34.28456646165923
IIFL.NS,497.6000061035156,497.6000061035156,510.75,618.2752685546875,553.4548950195312,446.0992126464844,312.0411682128906,0.0,-2.574643934700808,-19.518047799852752,-10.092039914841576,11.544694990942194,59.46613998189725,497.6000061035156,497.6000061035156,510.75,618.2752685546875,553.4548950195312,446.0992126464844,312.0411682128906,0.0,-2.574643934700808,-19.518047799852752,-10.092039914841576,11.544694990942194,59.46613998189725
BLUEJET.NS,355.8500061035156,355.8500061035156,357.6000061035156,443.1499938964844,567.8499755859375,775.2860717773438,721.929931640625,0.0,-0.4893735934370822,-19.69987340524734,-37.33379917180927,-54.10081271191558,-50.70851193344662,355.8500061035156,355.8500061035156,357.6000061035156,443.1499938964844,567.8499755859375,775.2860717773438,721.929931640625,0.0,-0.4893735934370822,-19.69987340524734,-37.33379917180927,-54.10081271191558,-50.70851193344662
GMDCLTD.NS,567.5999755859375,567.5999755859375,563.7999877929688,536.2999877929688,515.4000244140625,405.3839721679688,264.7265625,0.0,0.6739957210435648,5.836283517696383,10.128045925341004,40.01539640317979,114.40990666961784,567.5999755859375,567.5999755859375,563.7999877929688,536.2999877929688,515.4000244140625,405.3839721679688,264.7265625,0.0,0.6739957210435648,5.836283517696383,10.128045925341004,40.01539640317979,114.40990666961784
VENTIVE.NS,707.5499877929688,707.5499877929688,737.0499877929688,736.7999877929688,730.0499877929688,733.3499755859375,676.1500244140625,0.0,-4.002442234391069,-3.969869772611733,-3.081980737787597,-3.518100313885588,4.643934370351728,707.5499877929688,707.5499877929688,737.0499877929688,736.7999877929688,730.0499877929688,733.3499755859375,676.1500244140625,0.0,-4.002442234391069,-3.969869772611733,-3.081980737787597,-3.518100313885588,4.643934370351728
PHOENIXLTD.NS,1733.199951171875,1733.199951171875,1773.4000244140625,1746.699951171875,1724.0999755859375,1434.996826171875,1597.5858154296875,0.0,-2.266836172818355,-0.7728860352313367,0.5278102032827222,20.780751536260407,8.48869177683032,1733.199951171875,1733.199951171875,1773.4000244140625,1746.699951171875,1724.0999755859375,1434.996826171875,1597.5858154296875,0.0,-2.266836172818355,-0.7728860352313367,0.5278102032827222,20.780751536260407,8.48869177683032
FEDERALBNK.NS,292.6000061035156,292.6000061035156,289.0,276.1000061035156,246.0200042724609,194.80075073242188,179.92083740234375,0.0,1.245676852427552,5.9760954854212525,18.933420462617548,50.20476307374745,62.627081069657166,292.6000061035156,292.6000061035156,289.0,276.1000061035156,246.0200042724609,194.80075073242188,179.92083740234375,0.0,1.245676852427552,5.9760954854212525,18.933420462617548,50.20476307374745,62.627081069657166
