Symbol,Latest_0830,P1D_0830,P1W_0830,P1M_0830,P3M_0830,P6M_0830,P1Y_0830,R1D_0830,R1W_0830,R1M_0830,R3M_0830,R6M_0830,R1Y_0830,Latest_1530,P1D_1530,P1W_1530,P1M_1530,P3M_1530,P6M_1530,P1Y_1530,R1D_1530,R1W_1530,R1M_1530,R3M_1530,R6M_1530,R1Y_1530
HSCL.NS,455.2000122070313,455.2000122070313,460.4500122070313,481.4500122070313,462.5499877929688,486.5,494.97357177734375,0.0,-1.1401889153690483,-5.452279433884836,-1.5890121673135251,-6.433707665563977,-8.03549155715409,455.2000122070313,455.2000122070313,460.4500122070313,481.4500122070313,462.5499877929688,486.5,494.97357177734375,0.0,-1.1401889153690483,-5.452279433884836,-1.5890121673135251,-6.433707665563977,-8.03549155715409
ABCAPITAL.NS,347.75,347.75,333.04998779296875,361.1000061035156,331.45001220703125,252.3500061035156,176.6199951171875,0.0,4.413755515934474,-3.697038459669428,4.917781623971522,37.80463308463352,96.89163719502292,347.75,347.75,333.04998779296875,361.1000061035156,331.45001220703125,252.3500061035156,176.6199951171875,0.0,4.413755515934474,-3.697038459669428,4.917781623971522,37.80463308463352,96.89163719502292
BRIGADE.NS,763.0499877929688,763.0499877929688,738.7999877929688,886.9000244140625,1018.0,1006.4107055664062,1160.8134765625,0.0,3.2823498105952176,-13.964374023206986,-25.044205521319373,-24.181054158846067,-34.26592616304063,763.0499877929688,763.0499877929688,738.7999877929688,886.9000244140625,1018.0,1006.4107055664062,1160.8134765625,0.0,3.2823498105952176,-13.964374023206986,-25.044205521319373,-24.181054158846067,-34.26592616304063
CRAFTSMAN.NS,7834.0,7834.0,7491.5,8021.5,6793.5,6236.0,4173.68212890625,0.0,4.571848094507108,-2.337468054603254,15.316110988444835,25.625400898011545,87.6999675117321,7834.0,7834.0,7491.5,8021.5,6793.5,6236.0,4173.68212890625,0.0,4.571848094507108,-2.337468054603254,15.316110988444835,25.625400898011545,87.6999675117321
ANANTRAJ.NS,547.75,547.75,558.2000122070312,591.5499877929688,645.4500122070312,578.4000244140625,637.6325073242188,0.0,-1.8720910029567388,-7.404274988895429,-15.136727919945177,-5.299104965479893,-14.096286856735796,547.75,547.75,558.2000122070312,591.5499877929688,645.4500122070312,578.4000244140625,637.6325073242188,0.0,-1.8720910029567388,-7.404274988895429,-15.136727919945177,-5.299104965479893,-14.096286856735796
TARIL.NS,247.97000122070312,247.97000122070312,229.5800018310547,315.45001220703125,444.7999877929688,482.4500122070313,444.1157836914063,0.0,8.01027931134064,-21.39166535902389,-44.251347116466135,-48.601928708358486,-44.16546082653864,247.97000122070312,247.97000122070312,229.5800018310547,315.45001220703125,444.7999877929688,482.4500122070313,444.1157836914063,0.0,8.01027931134064,-21.39166535902389,-44.251347116466135,-48.601928708358486,-44.16546082653864
HEG.NS,534.2000122070312,534.2000122070312,526.9500122070312,618.5499877929688,579.7000122070312,523.4848022460938,381.19183349609375,0.0,1.3758420783851462,-13.636727386723315,-7.8488871902508,2.046899912846029,40.139416762323016,534.2000122070312,534.2000122070312,526.9500122070312,618.5499877929688,579.7000122070312,523.4848022460938,381.19183349609375,0.0,1.3758420783851462,-13.636727386723315,-7.8488871902508,2.046899912846029,40.139416762323016
CENTURYPLY.NS,797.7999877929688,797.7999877929688,812.5499877929688,816.4000244140625,754.6500244140625,734.7689208984375,803.6316528320312,0.0,-1.8152729335537423,-2.278299371002978,5.717877424360973,8.578352336604018,-0.725663930547219,797.7999877929688,797.7999877929688,812.5499877929688,816.4000244140625,754.6500244140625,734.7689208984375,803.6316528320312,0.0,-1.8152729335537423,-2.278299371002978,5.717877424360973,8.578352336604018,-0.725663930547219
EMCURE.NS,1515.699951171875,1515.699951171875,1470.0999755859375,1528.0,1318.9000244140625,1404.8948974609375,1216.9334716796875,0.0,3.1018281983007805,-0.8049770175474477,14.921519684196175,7.887070691992344,24.550765218069923,1515.699951171875,1515.699951171875,1470.0999755859375,1528.0,1318.9000244140625,1404.8948974609375,1216.9334716796875,0.0,3.1018281983007805,-0.8049770175474477,14.921519684196175,7.887070691992344,24.550765218069923
IIFL.NS,515.8499755859375,515.8499755859375,495.1499938964844,652.1248168945312,535.289306640625,511.1181640625,355.2712707519531,0.0,4.180547701628498,-20.89704881307003,-3.631556022795427,0.9257764360843356,45.198899560358434,515.8499755859375,515.8499755859375,495.1499938964844,652.1248168945312,535.289306640625,511.1181640625,355.2712707519531,0.0,4.180547701628498,-20.89704881307003,-3.631556022795427,0.9257764360843356,45.198899560358434
