Symbol,Latest_Close,Price_1D,Price_1W,Price_1M,Price_3M,Price_6M,Price_1Y,Return_1D,Return_1W,Return_1M,Return_3M,Return_6M,Return_1Y
HSCL.NS,457.20001220703125,463.5,476.75,459.79998779296875,450.5,497.29998779296875,564.6853637695312,-1.3592206673071736,-4.100679138535658,-0.5654579501877183,1.487239113658435,-8.063538421527479,-19.034555959620853
ABCAPITAL.NS,359.8500061035156,358.95001220703125,358.75,329.6000061035156,289.70001220703125,225.1999969482422,200.1300048828125,0.2507295907167392,0.30662191038763065,9.177791092182066,24.214701739933783,59.79130150086996,79.80812338171293
BRIGADE.NS,870.5,875.5499877929688,883.1500244140625,958.9000244140625,904.3499755859375,1257.96337890625,1276.76513671875,-0.5767789233483334,-1.432375481442728,-9.21889896374541,-3.7430172499320036,-30.80084725861688,-31.819880182728035
CRAFTSMAN.NS,7035.5,6972.0,7102.5,7072.0,6773.5,5501.86279296875,5083.71533203125,0.9107860011474469,-0.9433298134459697,-0.5161199095022624,3.8680150586845796,27.874871925036043,38.39287883943916
ANANTRAJ.NS,505.6000061035156,508.8999938964844,526.2999877929688,620.0,518.6500244140625,569.8640747070312,737.0628051757812,-0.6484550663288084,-3.9331146056564044,-18.4516119187878,-2.5161511031046317,-11.277087196021958,-31.40340245727965
TARIL.NS,235.9499969482422,240.5500030517578,236.89999389648438,296.6499938964844,496.5,533.7999877929688,522.5332641601562,-1.9122868614247606,-0.40101180781680285,-20.461823090218356,-52.477342004382244,-55.79805126564483,-54.84498057219882
HEG.NS,550.0,547.0999755859375,520.5,522.1500244140625,499.1000061035156,522.6378784179688,570.9158935546875,0.53007211542216,5.667627281460135,5.333711439962052,10.19835569505633,5.235388155343185,-3.6635682752601437
CENTURYPLY.NS,833.2000122070312,828.9000244140625,801.5,763.75,787.2024536132812,783.7568359375,798.088623046875,0.5187583141897419,3.9550857401161883,9.093291287336335,5.843167584478418,6.308484213779036,4.3994348680364554
EMCURE.NS,1404.5999755859375,1409.0999755859375,1396.199951171875,1369.699951171875,1372.699951171875,1319.7708740234375,1366.0751953125,-0.3193527839022772,0.6016347735159346,2.5480050856542023,2.3238890907535494,6.427562786250239,2.8201068583654845
IIFL.NS,571.75,563.1500244140625,569.3499755859375,540.3499755859375,440.45001220703125,429.20001220703125,442.75,1.5271198105487909,0.4215376336132364,5.811053175307977,29.810417562493306,33.21295054488665,29.136081309994356
BLUEJET.NS,552.6500244140625,538.0,544.5999755859375,581.0999755859375,729.4666748046875,922.0278930664062,502.6157531738281,2.723052865067379,1.478158132391379,-4.895878913639294,-24.239167668347168,-40.06146358803707,9.954775775388436
GMDCLTD.NS,503.5,486.95001220703125,514.4000244140625,594.1500244140625,512.86474609375,375.5445861816406,359.7414855957031,3.3987036406382454,-2.1189782069855823,-15.257093442596343,-1.8259679896262853,34.07196336375113,39.96161692784592
VENTIVE.NS,709.2999877929688,709.8499755859375,727.7000122070312,723.75,749.6500244140625,735.75,,-0.07747944099241096,-2.5285178102797223,-1.996547455202936,-5.382516548656413,-3.5949727770344886,
PHOENIXLTD.NS,1744.5,1737.800048828125,1725.0999755859375,1732.199951171875,1553.00732421875,1559.29736328125,1860.66357421875,0.38554212128104565,1.124573919692579,0.7100825063413563,12.330442541704146,11.877313531078231,-6.243126152857828
FEDERALBNK.NS,261.54998779296875,259.6000061035156,259.20001220703125,238.94000244140625,191.6300048828125,205.82403564453125,213.05027770996094,0.7511485530071863,0.9066263407659487,9.462620373542102,36.486970270086054,27.074560059972345,22.764443493959483
ADVENTHTL.NS,221.39999389648438,238.5399932861328,207.83999633789062,,,,,-7.185377660796995,6.524248362932478,,,,
LATENTVIEW.NS,486.3999938964844,474.6000061035156,450.8999938964844,482.79998779296875,422.8500061035156,409.20001220703125,494.8500061035156,2.4863016521738177,7.873142710254712,0.7456516558694192,15.028966980175806,18.866075118882073,-1.7075906037805781
MANYAVAR.NS,582.9000244140625,592.5999755859375,597.25,629.5999755859375,721.2000122070312,801.9464721679688,1362.7647705078125,-1.6368463671103097,-2.4026748574194223,-7.417400410222963,-19.176370694967165,-27.314347697264594,-57.22665884612983
SARDAEN.NS,487.8999938964844,489.0,475.8500061035156,525.5499877929688,584.4500122070312,441.2425537109375,486.2795104980469,-0.22495012341832823,2.532308004288943,-7.16392251374496,-16.519807732734844,10.574102564031627,0.3332411428928607
FSL.NS,337.3500061035156,338.1000061035156,347.0,366.3500061035156,351.45001220703125,374.0,377.11737060546875,-0.2218278575748897,-2.7809780681511165,-7.915927259956365,-4.011952088142092,-9.799463608685661,-10.545089566705958
JUBLINGREA.NS,678.0999755859375,665.3499755859375,687.2999877929688,673.9000244140625,713.0,710.674560546875,780.102783203125,1.9162847325231762,-1.3385730205778084,0.6232306009376898,-4.894814083318724,-4.583614887786451,-13.075560017663438
NEULANDLAB.NS,16200.0,16299.0,16887.0,17577.0,14433.0,11734.2822265625,16816.7734375,-0.6073992269464384,-4.068218155977972,-7.834101382488479,12.242776969445021,38.057016928812274,-3.6676086515184108
AIAENG.NS,3636.699951171875,3691.39990234375,3765.800048828125,3603.199951171875,3033.300048828125,3500.492431640625,3460.402099609375,-1.4818213311742467,-3.428224971647778,0.9297291422615817,19.892522751808396,3.8910959583881093,5.0947215522265825
GODREJCP.NS,1144.5,1130.5,1136.0,1135.9000244140625,1239.468505859375,1204.5615234375,1115.1436767578125,1.238390092879257,0.7482394366197183,0.7571067348443515,-7.662034606803453,-4.986173164995367,2.6325148816283988
