Symbol,Latest,P1D,P1W,P1M,P3M,P6M,P1Y,R1D,R1W,R1M,R3M,R6M,R1Y
HSCL.NS,622.4500122070312,622.4500122070312,637.6500244140625,490.45001220703125,455.29998779296875,482.25,440.093017578125,0.0,-2.383754665578279,26.914057847811712,36.712064330225274,29.072060592437794,41.43601178506186
ABCAPITAL.NS,351.6499938964844,351.6499938964844,362.95001220703125,343.70001220703125,344.6499938964844,324.20001220703125,205.5399932861328,0.0,-3.113381438351131,2.3130583087277787,2.0310460246526074,8.466989714955288,71.08592263450714
BRIGADE.NS,688.0999755859375,688.0999755859375,758.25,739.0,771.4500122070312,1037.699951171875,1036.034423828125,0.0,-9.25156932595615,-6.887689365908322,-10.804334085450167,-33.689890337870224,-33.58329030772715
CRAFTSMAN.NS,8570.0,8570.0,8981.5,7398.5,7848.5,6471.5,4573.24560546875,0.0,-4.581640037855593,15.834290734608366,9.192839396062942,32.426794406242756,87.39426524024593
ANANTRAJ.NS,493.5,493.5,560.8499755859375,503.3500061035156,547.5499877929688,644.4000244140625,450.55767822265625,0.0,-12.008554607776327,-1.9568900335902524,-9.871242625870591,-23.417135117471837,9.5309266389025
TARIL.NS,304.0,304.0,324.6000061035156,291.25,255.86000061035156,459.45001220703125,482.1999816894531,0.0,-6.346274096170608,4.377682403433476,18.814976657082365,-33.833933633020436,-36.955617680677896
HEG.NS,603.9000244140625,603.9000244140625,597.7000122070312,590.75,535.6500244140625,591.0,461.6551513671875,0.0,1.0373117082827983,2.2259880514705883,12.741528402739716,2.182745247726311,30.811932375414443
CENTURYPLY.NS,768.75,768.75,795.1500244140625,739.8499755859375,785.75,755.9000244140625,674.4453125,0.0,-3.32013124611502,3.906200630901502,-2.1635380209990456,1.699957027504819,13.982555108943693
EMCURE.NS,1677.199951171875,1677.199951171875,1643.0,1630.4000244140625,1534.9000244140625,1326.0,1014.003173828125,0.0,2.0815551534920878,2.8704567012400277,9.27095735842043,26.485667509191174,65.40381671982448
IIFL.NS,451.45001220703125,451.45001220703125,461.29998779296875,469.25,504.54998779296875,530.6734008789062,385.2991027832031,0.0,-2.135264653498791,-3.793284558970431,-10.524224927288262,-14.928841080156738,17.168716185941747
BLUEJET.NS,433.8999938964844,433.8999938964844,490.45001220703125,408.20001220703125,406.70001220703125,656.4000244140625,733.35986328125,0.0,-11.53023078867326,6.295928692039967,6.687971692414638,-33.89701740431735,-40.83395947589787
GMDCLTD.NS,662.5499877929688,662.5499877929688,684.7000122070312,622.2999877929688,613.8499755859375,594.2999877929688,308.1605529785156,0.0,-3.234996935762438,6.467941634186672,7.93353655517306,11.484099175814837,115.00155726912928
VENTIVE.NS,654.7000122070312,654.7000122070312,673.7999877929688,619.5499877929688,779.1500244140625,738.9000244140625,778.7999877929688,0.0,-2.8346654692736717,5.673476734182161,-15.972535238078228,-11.395318639189474,-15.934768558179208
PHOENIXLTD.NS,1719.300048828125,1719.300048828125,1829.300048828125,1749.9000244140625,1719.0999755859375,1707.9000244140625,1494.80078125,0.0,-6.01322894352228,-1.748669933082812,0.011638255193349479,0.6674878067276544,15.018674755467517
FEDERALBNK.NS,279.6499938964844,279.6499938964844,297.25,286.8500061035156,287.6000061035156,236.61000061035156,193.27996826171875,0.0,-5.920944021367746,-2.510026862064273,-2.7642600967712805,18.19026802548845,44.686485832723605
ADVENTHTL.NS,151.77000427246094,151.77000427246094,159.8000030517578,169.99000549316406,214.0399932861328,,,0.0,-5.025030429252262,-10.718277917483695,-29.09268873430964,,
LATENTVIEW.NS,282.70001220703125,282.70001220703125,314.75,302.54998779296875,428.1000061035156,448.3500061035156,424.3999938964844,0.0,-10.18268079204726,-6.560891220237165,-33.964025186518285,-36.9465800471605,-33.3883090780664
MANYAVAR.NS,441.3500061035156,441.3500061035156,457.75,418.1000061035156,482.20001220703125,671.7999877929688,715.4193115234375,0.0,-3.5827403378447573,5.560870523939584,-8.471589603771472,-34.30336199417613,-38.30890514212003
SARDAEN.NS,569.5,569.5,589.1500244140625,583.3499755859375,529.4500122070312,529.5,441.7911682128906,0.0,-3.3353175931046386,-2.374213793705244,7.564451198332954,7.554296506137866,28.907058577859342
FSL.NS,243.82000732421875,243.82000732421875,274.260009765625,220.36000061035156,292.4178466796875,346.3409729003906,337.190673828125,0.0,-11.098957688880501,10.64621830136496,-16.619313734534984,-29.60116578688985,-27.69076186000914
JUBLINGREA.NS,732.0499877929688,732.0499877929688,742.5999755859375,667.9000244140625,623.6905517578125,687.3497924804688,712.7138061523438,0.0,-1.4206824858355858,9.604725413086177,17.373910143380478,6.503267448614261,2.7130359302302978
NEULANDLAB.NS,16616.0,16616.0,17666.0,14982.0,13202.0,16473.0,12558.599609375,0.0,-5.943620513981659,10.90642103857963,25.859718224511436,0.8680871729496753,32.307745424069005
AIAENG.NS,3843.10009765625,3843.10009765625,3971.89990234375,3827.10009765625,4088.5,3330.199951171875,3103.568359375,0.0,-3.2427756956185485,0.4180711136820942,-6.00219890775957,15.401482013231336,23.828434003953365
GODREJCP.NS,1022.7000122070312,1022.7000122070312,1037.244140625,1080.1309814453125,1164.4119873046875,1103.4146728515625,1261.7852783203125,0.0,-1.4021894989163368,-5.317037491271053,-12.170260753299424,-7.314988882279386,-18.94817368859711
IDBI.NS,71.3499984741211,71.3499984741211,74.72000122070312,74.38999938964844,102.9800033569336,103.80000305175781,80.07686614990234,0.0,-4.510174908359456,-4.086572039884125,-30.71470562414083,-31.262045880149124,-10.89811339450363
INDIAMART.NS,1965.5999755859375,1965.5999755859375,2091.800048828125,2120.10009765625,2282.800048828125,2457.89990234375,2246.165771484375,0.0,-6.033084917121391,-7.2873975262352415,-13.895219312134765,-20.02929111508471,-12.490876651237812
MAHSEAMLES.NS,650.7999877929688,650.7999877929688,650.25,637.2000122070312,527.4000244140625,568.0,670.2722778320312,0.0,0.08458097546616686,2.134333855210091,23.397792504086947,14.577462639607175,-2.9051313448386735
GRANULES.NS,736.4000244140625,736.4000244140625,752.9500122070312,652.6500244140625,579.7000122070312,574.2999877929688,439.55621337890625,0.0,-2.1980194600778042,12.832298608306841,27.031224582943114,28.22567300480767,67.5326163070913
NIVABUPA.NS,81.30000305175781,81.30000305175781,81.29000091552734,74.30999755859375,78.37999725341797,74.86000061035156,86.7300033569336,0.0,0.012304263892016052,9.406547870833146,3.7254476915824455,8.602728277984722,-6.260809518049768
CHENNPETRO.NS,1025.0999755859375,1025.0999755859375,1076.9000244140625,971.0999755859375,887.3703002929688,971.652587890625,609.3904418945312,0.0,-4.8101074987261905,5.560704495684674,15.521104914993971,5.5006684859803885,68.21727173780552
