Symbol,WeeklyStd,WeeklyATR,WoW,Trend13W
HSCL.NS,6.631780945410071,17.583343505859375,-0.04341013717444384,1.308838893437734
ABCAPITAL.NS,4.794002900202965,17.150004069010418,1.751033672978363,4.330116586543442
BRIGADE.NS,5.130722001089233,27.066670735677082,4.034559732261549,-17.11502166192096
CRAFTSMAN.NS,4.721879276291141,457.0,6.382397157304906,15.386895938333828
ANANTRAJ.NS,6.890868349026169,24.25,11.203648893046385,-8.975813988691703
TARIL.NS,8.574033770014442,12.749994913736979,6.148636310710954,-21.222505168902607
HEG.NS,6.828537475208391,25.599995930989582,1.3191926963214944,6.445047184823058
CENTURYPLY.NS,4.602933992688959,48.150004069010414,3.59542483863612,5.08581354761674
EMCURE.NS,5.387288188950414,40.299967447916664,3.0536924225177104,9.96500556248357
IIFL.NS,6.485266034613687,23.133341471354168,-0.8322345966467491,-3.493623598516229
BLUEJET.NS,6.737852310804897,16.54998779296875,0.5026944592497007,-27.10937394036187
GMDCLTD.NS,7.603522564157456,21.95001220703125,3.6953657439961054,5.549683113971653
VENTIVE.NS,5.945576291615113,42.51666259765625,1.6754909462539647,1.3765436408912461
PHOENIXLTD.NS,4.801450949490965,55.466715494791664,4.195852020410958,0.2533992370535275
FEDERALBNK.NS,3.81493788704559,9.333323160807291,-0.4517768177128584,21.243553232514408
ADVENTHTL.NS,9.87063401699383,10.620000203450521,2.4535545199318927,
LATENTVIEW.NS,5.044775612450174,34.45000203450521,10.034390933693198,-8.357196523343513
MANYAVAR.NS,4.188536324869436,20.683329264322918,-0.05150921950265308,-22.569831428010275
SARDAEN.NS,6.172771503582716,19.850006103515625,4.246635122281534,-1.4380816262909368
FSL.NS,5.177286989530043,8.283335367838541,-3.939348401774857,-15.28811975208318
JUBLINGREA.NS,5.996153831293448,25.866658528645832,3.179852374188312,-4.033673176130124
NEULANDLAB.NS,7.716391802709928,490.3333333333333,1.7281714587578296,-22.799381478724012
AIAENG.NS,3.7208129429043306,146.73331705729166,-1.6044121333667585,6.28215542919036
GODREJCP.NS,3.7889813714419476,32.666707356770836,-0.3899142271201718,0.7062304576387909
IDBI.NS,6.2384905847456835,3.0699996948242188,3.515115005249854,2.009104078486716
INDIAMART.NS,4.56920269321163,65.79996744791667,1.9119896236626261,-8.460467920613759
MAHSEAMLES.NS,5.295789874196276,13.199981689453125,1.5766223018551826,-6.1550801425899175
GRANULES.NS,4.734236534733095,20.016621907552082,2.295835468208983,6.475738637268252
NIVABUPA.NS,5.229390099672115,3.176666259765625,0.0760714549313872,3.0821478643823057
CHENNPETRO.NS,7.252405943621852,48.98333740234375,0.7620849505365392,-15.194361087068756
MUTHOOTFIN.NS,3.9423048641361027,155.09993489583334,-4.159704532220429,-1.4843259442395305
KIRLOSENG.NS,6.555983740346473,50.933308919270836,0.4003365563777683,7.934609081033758
AKUMS.NS,7.072434204785223,16.416666666666668,1.933795981357998,5.597454792194922
MAHABANK.NS,5.966986751196013,1.9533322652180989,-1.3482416097403773,12.68577985463997
JPPOWER.NS,8.367768836078374,0.5333334604899088,3.8183073956723277,-11.204953521802144
GODREJPROP.NS,5.469736253921193,85.933349609375,7.350323360903407,-22.911926699553046
INDIANB.NS,5.175455687980195,29.76666259765625,-4.28869541489211,0.47785863556611174
RHIM.NS,5.27404486510707,14.516672770182291,-0.8312766021779718,-9.14891667152942
CHOLAFIN.NS,4.384882500560714,68.5333251953125,5.552830163128765,0.4432506528725645
KPIL.NS,5.00391604975163,34.033365885416664,-2.3514007354949737,-10.860196368398322
YESBANK.NS,5.621539789928749,0.5499998728434244,0.747313631725453,-4.133334689670138
AUBANK.NS,4.475729224702264,27.2833251953125,-0.152695071744192,10.133618063555788
CAMPUS.NS,4.988276325396949,15.450002034505209,7.60418742410538,-0.11001771071396359
LUPIN.NS,3.626042120778169,51.733317057291664,2.029912215751901,6.8700407637504455
DELHIVERY.NS,5.528170229240089,14.166676839192709,5.568030999710951,2.314391898436044
HINDCOPPER.NS,8.073463864677223,42.316670735677086,-8.31024901168255,87.591357021346
HINDZINC.NS,5.080622823970532,33.733357747395836,1.4160738924522673,30.869528875751318
KARURVYSYA.NS,5.136329727114001,16.450002034505207,3.915069193597789,25.480771053001916
WELCORP.NS,6.484198181407779,35.850016276041664,10.935893040795337,-11.921611322808928
VEDL.NS,5.181690986916879,32.116678873697914,1.2398228095336816,31.341016858414
JMFINANCIL.NS,5.609248025596713,5.249997456868489,1.2020186804501833,-13.386870919271415
ABLBL.NS,4.724796932310046,6.946665445963542,8.407123615805682,-15.32683901484075
SOBHA.NS,6.862070657990971,60.199991861979164,2.1100605907152823,-5.90926401795763
THELEELA.NS,4.112737791362261,16.75,6.353919239904989,4.516808211764641
BANKBARODA.NS,4.638386373836897,8.600006103515625,-4.575812280807797,-0.3661683672079337
SBFC.NS,4.24912576058805,3.3699976603190103,4.975415700190333,-17.95974779023284
NAVA.NS,7.2046864860506625,21.349995930989582,2.2699037486776077,4.997726391812699
CEATLTD.NS,5.023873810823287,112.13330078125,4.713170464319534,-1.1865293459316693
BHEL.NS,6.341287453279162,8.583333333333334,2.3030024788125303,-4.563212295809393
HEROMOTOCO.NS,3.6699590454894966,156.0,5.122876761835923,5.0374650176040445
IDFCFIRSTB.NS,4.227918251253389,2.2100016276041665,1.3878870630556026,5.358693947830802
BALKRISIND.NS,3.832174783880935,179.23331705729166,11.060902255399853,9.926262053318208
FINPIPE.NS,4.96865443639963,5.2133331298828125,0.595138635916266,-5.6158253220765815
