Symbol,Latest_0830,P1D_0830,P1W_0830,P1M_0830,P3M_0830,P6M_0830,P1Y_0830,R1D_0830,R1W_0830,R1M_0830,R3M_0830,R6M_0830,R1Y_0830,Latest_1530,P1D_1530,P1W_1530,P1M_1530,P3M_1530,P6M_1530,P1Y_1530,R1D_1530,R1W_1530,R1M_1530,R3M_1530,R6M_1530,R1Y_1530
HSCL.NS,460.75,460.75,448.25,485.3999938964844,485.75,514.8499755859375,461.06646728515625,0.0,2.788622420524261,-5.078284756167754,-5.14668039114771,-10.507910682984438,-0.0686381048311032,445.5499877929688,445.5499877929688,448.25,485.3999938964844,485.75,514.8499755859375,461.06646728515625,0.0,-0.6023451660973229,-8.209725299669858,-8.275864581993051,-13.460229402575036,-3.365345474710267
ABCAPITAL.NS,339.79998779296875,339.79998779296875,348.8999938964844,361.9500122070313,310.79998779296875,268.6000061035156,169.00999450683594,0.0,-2.608198986158629,-6.119636321877768,9.330759697235765,26.50781089782008,101.05319143077357,329.20001220703125,329.20001220703125,348.8999938964844,361.9500122070313,310.79998779296875,268.6000061035156,169.00999450683594,0.0,-5.646311846969518,-9.048210773720704,5.920214007961671,22.561431394815763,94.78138743665608
BRIGADE.NS,752.25,752.25,760.1500244140625,885.0,1011.0499877929688,1084.11083984375,1015.287841796875,0.0,-1.039271743778734,-15.0,-25.597150577876555,-30.611338587074748,-25.907711189700237,739.4000244140625,739.4000244140625,760.1500244140625,885.0,1011.0499877929688,1084.11083984375,1015.287841796875,0.0,-2.729724308828968,-16.451974642478813,-26.86810411539529,-31.796639491158466,-27.173359713885787
CRAFTSMAN.NS,7317.0,7317.0,7198.5,7156.0,6480.5,6532.0,4592.029296875,0.0,1.6461762867264012,2.2498602571268864,12.907954633130158,12.017758726270667,59.3413179001148,7397.5,7397.5,7198.5,7156.0,6480.5,6532.0,4592.029296875,0.0,2.7644648190595262,3.3747903856903303,14.150142735900006,13.250153092467851,61.09435549625519
ANANTRAJ.NS,504.2999877929688,504.2999877929688,490.1499938964844,552.5,635.5999755859375,562.75,533.857421875,0.0,2.8868701566224515,-8.723984109869908,-20.65764519136865,-10.386497060334296,-5.53657828305925,531.0499877929688,531.0499877929688,490.1499938964844,552.5,635.5999755859375,562.75,533.857421875,0.0,8.344383230803858,-3.882355150593892,-16.44902325501,-5.633054146073968,-0.5258771287979951
TARIL.NS,236.1499938964844,236.1499938964844,231.1499938964844,285.25,455.5499877929688,507.1000061035156,449.4885559082031,0.0,2.1630976128163537,-17.212973217709244,-48.16156289662637,-53.43127764658743,-47.462512495042894,237.1699981689453,237.1699981689453,231.1499938964844,285.25,455.5499877929688,507.1000061035156,449.4885559082031,0.0,2.6043713741809005,-16.85539065067649,-47.93765678318256,-53.230133047852654,-47.2355869684519
HEG.NS,542.0,542.0,545.1500244140625,624.1500244140625,580.5999755859375,539.228759765625,399.7257995605469,0.0,-0.5778270701626044,-13.161903580983278,-6.64829094196614,0.5139266376629309,35.5929491155856,523.2999877929688,523.2999877929688,545.1500244140625,624.1500244140625,580.5999755859375,539.228759765625,399.7257995605469,0.0,-4.00807771119126,-16.157980081114218,-9.86909924257954,-2.9539915451801324,30.914739145753828
CENTURYPLY.NS,803.7999877929688,803.7999877929688,739.4500122070312,812.0,744.0999755859375,728.826416015625,798.1386108398438,0.0,8.702410511005684,-1.0098537200777402,8.023117076441348,10.286890009724402,0.7093225257161534,762.3499755859375,762.3499755859375,739.4500122070312,812.0,744.0999755859375,728.826416015625,798.1386108398438,0.0,3.09689133827409,-6.114535026362377,2.452627415506785,4.59966307939006,-4.484012522116622
EMCURE.NS,1463.800048828125,1463.800048828125,1484.5999755859375,1364.5,1348.9000244140625,1355.097900390625,1281.6497802734375,0.0,-1.4010458776683763,7.277394564171857,8.518053401620552,8.021719198750523,14.212171792814264,1485.300048828125,1485.300048828125,1484.5999755859375,1364.5,1348.9000244140625,1355.097900390625,1281.6497802734375,0.0,0.0471556819143282,8.853063307301209,10.111944691624732,9.60832043204904,15.889697145755305
IIFL.NS,528.7000122070312,528.7000122070312,518.01708984375,615.8928833007812,519.1586303710938,529.928955078125,347.4789123535156,0.0,2.062272186136475,-14.157148663003458,1.837854805402606,-0.2319070998701274,52.1531216458817,475.75,475.75,518.01708984375,615.8928833007812,519.1586303710938,529.928955078125,347.4789123535156,0.0,-8.1594006592522,-22.75442485220928,-8.361342339636217,-10.2238148262983,36.914783339710944
