Symbol,Latest_0830,P1D_0830,P1W_0830,P1M_0830,P3M_0830,P6M_0830,P1Y_0830,R1D_0830,R1W_0830,R1M_0830,R3M_0830,R6M_0830,R1Y_0830,Latest_1530,P1D_1530,P1W_1530,P1M_1530,P3M_1530,P6M_1530,P1Y_1530,R1D_1530,R1W_1530,R1M_1530,R3M_1530,R6M_1530,R1Y_1530
HSCL.NS,435.8500061035156,435.8500061035156,451.3999938964844,452.25,463.5,457.2000122070313,410.6802673339844,0.0,-3.4448356232221604,-3.6263115304553626,-5.965478726318096,-4.669729994199525,6.128791853800475,446.9500122070313,446.9500122070313,447.0,450.3500061035156,459.25,454.7999877929688,405.7365112304688,0.0,-0.0111829514471476,-0.7549669924291876,-2.678277145992107,-1.7260280995238104,10.157700831895845
ABCAPITAL.NS,319.3999938964844,319.3999938964844,332.5,344.6499938964844,358.95001220703125,277.54998779296875,158.05999755859375,0.0,-3.939851459703948,-7.326273160354048,-11.018252393242893,15.07836712092834,102.07516059088952,318.6499938964844,318.6499938964844,323.79998779296875,336.20001220703125,354.45001220703125,281.1000061035156,157.8800048828125,0.0,-1.59048613052363,-5.220112335909022,-10.100159988042655,13.358230870738897,101.83049407238396
BRIGADE.NS,652.9500122070312,652.9500122070312,671.4500122070312,796.5499877929688,875.5499877929688,928.4500122070312,954.74365234375,0.0,-2.75523116593463,-18.02774186009536,-25.42401675397809,-29.67311070900901,-31.609913236486197,649.25,649.25,672.0,762.9500122070312,871.4000244140625,910.3499755859376,950.3549194335938,0.0,-3.3854166666666665,-14.90268174688462,-25.4934608893818,-28.6812745194927,-31.68341777123126
CRAFTSMAN.NS,6903.0,6903.0,7421.0,7973.5,7076.0,6897.5,4996.4384765625,0.0,-6.980191348874815,-13.425722706465166,-2.444884115319389,0.0797390358825661,38.15841088369,6917.0,6917.0,7325.5,7729.0,6972.0,6835.5,4995.33935546875,0.0,-5.576411166473278,-10.505886919394488,-0.7888697647733792,1.1923048789408237,38.4690710237228
ANANTRAJ.NS,447.75,447.75,485.3500061035156,548.8499755859375,508.8999938964844,533.8499755859375,485.5655212402344,0.0,-7.746987870748328,-18.420329795588657,-12.016112130062814,-16.128122042421523,-7.787933777432496,448.9500122070313,448.9500122070313,472.5499877929688,533.0499877929688,504.8999938964844,535.25,512.1834716796875,0.0,-4.994175472559107,-15.777127382394967,-11.081398765262035,-16.123304585328118,-12.345860998849563
TARIL.NS,271.29998779296875,271.29998779296875,289.3999938964844,271.1099853515625,240.5500030517578,500.75,393.8865966796875,0.0,-6.254321522200801,0.0700831587445456,12.783198649386271,-45.82127053560285,-31.122310309636507,283.3999938964844,283.3999938964844,289.3999938964844,271.1099853515625,240.5500030517578,500.75,393.8865966796875,0.0,-2.073255054091723,4.533218696826964,17.81334038707402,-43.404893879883296,-28.050358584060152
HEG.NS,497.6499938964844,497.6499938964844,521.25,532.0,547.0999755859375,496.6000061035156,386.4231872558594,0.0,-4.52757910858813,-6.456768064570606,-9.038564046085504,0.2114353161626585,28.783678182070183,501.1000061035156,501.1000061035156,524.75,526.5,533.25,492.4500122070313,398.1813049316406,0.0,-4.506906888324798,-4.824310331715931,-6.029065897137248,1.7565222219646983,25.847195711396843
CENTURYPLY.NS,653.9500122070312,653.9500122070312,686.3499755859375,777.5,797.8499755859375,778.9129638671875,737.5154418945312,0.0,-4.720618420834994,-15.890673671121384,-18.035967635798546,-16.043249689892654,-11.33066847696598,662.5999755859375,662.5999755859375,690.25,765.5999755859375,828.9000244140625,787.2024536132812,738.6639404296875,0.0,-4.005798538799348,-13.453500951481992,-20.06273904330985,-15.828517486882172,-10.297506170330028
EMCURE.NS,1508.0,1508.0,1560.0999755859375,1488.699951171875,1409.0999755859375,1371.4000244140625,968.5970458984376,0.0,-3.339528004695337,1.296436452015222,7.018666249918676,9.960622222119364,55.68909758559409,1505.4000244140625,1505.4000244140625,1560.0999755859375,1488.699951171875,1409.0999755859375,1371.4000244140625,968.5970458984376,0.0,-3.506182425990421,1.1217890636082533,6.83415304070821,9.771036722655168,55.4206706275575
IIFL.NS,468.5499877929688,468.5499877929688,491.3999938964844,523.0,559.0137939453125,429.0751953125,311.3959350585937,0.0,-4.649980949802186,-10.41109220019718,-16.182750252705517,9.19997075377868,50.467599297596536,471.5499877929688,471.5499877929688,480.8500061035156,508.7999877929688,564.0266723632812,431.8049926757813,309.6587829589844,0.0,-1.9340788587917372,-7.321147974389705,-16.3957998976952,9.204385264491336,52.2805144704801
BLUEJET.NS,357.25,357.25,376.1000061035156,441.3999938964844,538.0,707.10595703125,828.8917236328125,0.0,-5.01196644445878,-19.06433961487977,-33.59665427509294,-49.47716159825654,-56.90028144637902,352.6000061035156,352.6000061035156,374.7000122070313,397.2999877929688,554.0499877929688,742.44384765625,817.9609985351562,0.0,-5.89805321151279,-11.250939608069178,-36.35953183428798,-52.50819207181729,-56.89280946952622
GMDCLTD.NS,540.75,540.75,547.5,591.4500122070312,486.9500122070313,446.8057861328125,249.97369384765625,0.0,-1.2328767123287672,-8.572155069849623,11.048359471052892,21.025737978975656,116.32276247818068,553.0999755859375,553.0999755859375,542.3499755859375,571.0999755859375,494.1000061035156,499.6136779785156,249.10992431640625,0.0,1.9821149596966507,-3.151812426805368,11.94089632738462,10.705531086305026,122.0304859807268
VENTIVE.NS,645.5999755859375,645.5999755859375,681.2000122070312,767.0499877929688,709.8499755859375,737.5499877929688,739.2999877929688,0.0,-5.226076920602599,-15.83338949740148,-9.051208312991148,-12.46695325454222,-12.674153084562295,645.0,645.0,670.9000244140625,748.4500122070312,707.7999877929688,725.0499877929688,736.8499755859375,0.0,-3.8604894129617233,-13.82189999596334,-8.872561299243442,-11.04061639069033,-12.465220686598938
PHOENIXLTD.NS,1563.9000244140625,1563.9000244140625,1605.5,1779.0,1739.199951171875,1509.9764404296875,1557.64990234375,0.0,-2.5910915967572405,-12.091061022256184,-10.079342897847669,3.571153995557056,0.4012533279081599,1595.800048828125,1595.800048828125,1575.699951171875,1735.5,1737.800048828125,1498.6944580078125,1549.21337890625,0.0,1.275629769570102,-8.049550629321521,-8.17125077742729,6.479345426378183,3.0071177125235877
FEDERALBNK.NS,257.3999938964844,257.3999938964844,276.0,287.1000061035156,259.6000061035156,189.8999938964844,178.04220581054688,0.0,-6.7391326462013135,-10.344831618123592,-0.847462309440006,35.545024839123826,44.57245838123429,264.54998779296875,264.54998779296875,269.45001220703125,288.29998779296875,260.8999938964844,190.5200042724609,178.04220581054688,0.0,-1.818528184106215,-8.237946932226416,1.3990011429178335,38.85680341190745,48.58835667003252
ADVENTHTL.NS,159.05999755859375,159.05999755859375,181.1300048828125,218.6999969482422,238.5399932861328,,,0.0,-12.18462249724865,-27.270233297608552,-33.319358583280184,,,150.16000366210938,150.16000366210938,178.16000366210938,210.97000122070312,223.8300018310547,,,0.0,-15.71620982513202,-28.82400208879853,-32.91337066804427,,
LATENTVIEW.NS,281.20001220703125,281.20001220703125,304.3999938964844,390.8500061035156,474.6000061035156,429.0499877929688,363.9500122070313,0.0,-7.621544728855223,-28.054238757628124,-40.75010354178159,-34.45984845413401,-22.736638885707208,275.95001220703125,275.95001220703125,299.1499938964844,389.3500061035156,489.0,429.0499877929688,357.79998779296875,0.0,-7.75530073969551,-29.12546349526317,-43.5685046611388,-35.68348209808445,-22.87590228574792
MANYAVAR.NS,333.75,333.75,364.3999938964844,479.5,592.5999755859375,728.1500244140625,775.330322265625,0.0,-8.411085183824444,-30.396246089676747,-43.68038917483885,-54.16466541100972,-56.95383110714215,341.45001220703125,341.45001220703125,364.3999938964844,455.2999877929688,582.2000122070312,724.0,784.2848510742188,0.0,-6.298019229926924,-25.005486193359328,-41.35176828446869,-52.838396104001205,-56.463520653324586
SARDAEN.NS,508.8500061035156,508.8500061035156,544.8499755859375,499.0499877929688,489.0,559.75,501.2918090820313,0.0,-6.607317811422699,1.9637348061838689,4.059305951639187,-9.093344153011948,1.5077439695902857,522.3499755859375,522.3499755859375,544.3499755859375,502.5,486.4500122070313,569.4000244140625,526.1295166015625,0.0,-4.04151758734245,3.950243897699005,7.37999023086207,-8.26309216908474,-0.7183670363218271
FSL.NS,217.0,217.0,213.7700042724609,267.95184326171875,330.8784484863281,353.87652587890625,332.78680419921875,0.0,1.510967705002366,-19.01529866019699,-34.41700388988422,-38.67917645539007,-34.79308756783048,216.97999572753903,216.97999572753903,218.0,248.7215576171875,333.3250732421875,342.4264221191406,324.27264404296875,0.0,-0.4678918681013475,-12.761886100159655,-34.90438819467816,-36.63456389120432,-33.08717225656955
