Symbol,RSI,MACD_Latest,MACD_1D,Signal_Latest,Signal_1D,Histogram_Trend,EMA20,EMA50,EMA100,Price_1W,Price_1M,Price_3M
HSCL.NS,52.20682451238244,0.8373481596779015,0.720519466925964,-1.7491351670415043,-2.3957559987213557,-0.5297921389279141,454.2978014214194,457.0686807101173,461.5581673004728,476.75,459.79998779296875,450.5
ABCAPITAL.NS,64.28854876153017,10.023112510410385,10.221844282844131,9.889981994819477,9.85669936592175,-0.23201440133147244,348.06313638373945,329.57677876232657,306.23540896995405,358.75,329.6000061035156,289.70001220703125
BRIGADE.NS,37.306874366365136,-23.711975688247207,-24.19222170467617,-22.282261179195984,-21.92483255193318,0.8376746436917699,899.3116088822654,929.7443944529047,959.5968578900686,883.1500244140625,958.9000244140625,904.3499755859375
CRAFTSMAN.NS,54.187635326267184,68.2958337805785,69.4739489393196,70.87350623673572,71.51792435077502,-0.5336970447017961,6952.705822470165,6835.537059609159,6608.919317521515,7102.5,7072.0,6773.5
ANANTRAJ.NS,19.162381774838764,-31.619497186583885,-30.75837099785963,-24.586373244775288,-22.828092259323135,0.8971547967278966,559.5879257134884,590.4043511722683,591.9308373046338,526.2999877929688,620.0,518.6500244140625
TARIL.NS,23.014882165324664,-40.024850672196976,-41.079174192986954,-42.56390973013969,-43.198674494625365,0.41955875630430484,279.7979556330448,351.49119477886904,407.2409170907506,236.89999389648438,296.6499938964844,496.5
HEG.NS,70.13835760542045,2.3093046060687357,0.6571076330700407,-0.8140533166261017,-1.594892797299811,0.8713574923249858,530.1486432837034,527.0409937477922,518.4980453153202,520.5,522.1500244140625,499.1000061035156
CENTURYPLY.NS,69.04218769406464,12.682873119659689,10.965533396640467,10.142978080728902,9.508004320996204,1.0823659632865237,798.0815885934787,784.0232448190932,774.1423831646655,801.5,763.75,787.2024536132812
EMCURE.NS,53.330288922338134,10.750935705636039,11.095234650496423,10.675963477084993,10.65722041994723,-0.3630420019981475,1392.9162290366835,1378.608035932335,1357.5193022257854,1396.199951171875,1369.699951171875,1372.699951171875
IIFL.NS,56.633404548971505,11.127441345541229,11.404045170516838,13.681190603263966,14.31962791769465,0.36183348945507454,560.0022111686853,533.8338028767577,504.3864656825243,569.3499755859375,540.3499755859375,440.45001220703125
BLUEJET.NS,44.59947627755877,-17.236189068989688,-18.21449736980435,-18.338437162257172,-18.61399918557404,0.7027462774977913,566.0587126601802,606.0456826176448,657.5189387050856,544.5999755859375,581.0999755859375,729.4666748046875
GMDCLTD.NS,43.250347003101005,-17.385648973171783,-17.833944917898748,-15.27624992664684,-14.748900165015604,0.9756457063582005,523.8456327391025,536.554109616963,510.12890370697,514.4000244140625,594.1500244140625,512.86474609375
VENTIVE.NS,39.91005363651583,-5.6802113323486765,-5.243137727162662,-3.8673031585905444,-3.414076115151011,0.01615343825351845,721.8307904686048,728.615444175865,732.6993368671987,727.7000122070312,723.75,749.6500244140625
PHOENIXLTD.NS,59.62113811811414,9.517799403732624,9.041409231750777,10.931629076818716,11.285086495090239,0.8298475902533706,1727.9780379900562,1694.5664877317797,1650.7631284845695,1725.0999755859375,1732.199951171875,1553.00732421875
FEDERALBNK.NS,73.32234958627625,7.430655304271681,7.570555689375482,7.927579678220389,8.051810771707565,-0.015669291616624115,252.92701039930384,238.25524231210258,224.61966011714483,259.20001220703125,238.94000244140625,191.6300048828125
ADVENTHTL.NS,43.786949330583624,-23.267606599797602,-24.48392768155807,-25.71019990935089,-26.320848236739213,0.6056727543721472,241.43512573781993,276.3774836412383,298.182581755859,207.83999633789062,,
LATENTVIEW.NS,53.608191649956424,6.043783646214365,5.892731231722962,7.430964280589256,7.7777594391829785,0.4978475730851253,477.2517723585985,461.56823787631646,445.8809291075595,450.8999938964844,482.79998779296875,422.8500061035156
MANYAVAR.NS,33.54681504543912,-14.968671951898045,-14.268815998491391,-15.374512175511734,-15.475972231415154,-0.8013160093100744,609.9029754677631,641.6370021207589,685.123592549152,597.25,629.5999755859375,721.2000122070312
SARDAEN.NS,48.635325738016256,-12.093301776366388,-13.112130885795978,-13.736124886180583,-14.14683066363413,0.6081233319760422,494.17342547301547,514.1236035525279,517.2711340246185,475.8500061035156,525.5499877929688,584.4500122070312
FSL.NS,34.32215064888028,-2.63359095784557,-2.1336100585860436,-0.6927949663618203,-0.20759596849088274,-0.014781901388588814,346.39861983220044,347.8588397142081,349.67440745312194,347.0,366.3500061035156,351.45001220703125
JUBLINGREA.NS,43.6996320560755,-4.578264766422535,-4.064900839380357,0.4211840184496016,1.6710462146676357,0.7364982691758559,690.5138417171864,693.5398161110006,699.8083900051816,687.2999877929688,673.9000244140625,713.0
NEULANDLAB.NS,41.12644357843689,-69.56648013672748,-35.91732147727089,29.652612519107805,54.457385683066626,-8.844385495497761,16662.32771688476,16351.027817685801,15522.044124815804,16887.0,17577.0,14433.0
AIAENG.NS,38.99905673723536,63.82565520556136,79.82429586432636,100.49625938847443,109.66391043420269,-6.830989613036735,3714.5101143267757,3552.943468430514,3427.631020393724,3765.800048828125,3603.199951171875,3033.300048828125
GODREJCP.NS,58.858931998086696,-1.7024530319285986,-2.945098946278904,-2.389764187331361,-2.5615919761820516,1.0708181254996147,1134.2562130610665,1144.4744486157526,1161.7709655460988,1136.0,1135.9000244140625,1239.468505859375
IDBI.NS,31.794082673753906,-0.8670033148822256,-0.7155974835267074,-0.0031533341750790977,0.21280916100170752,0.06455666382126846,97.96970029549793,97.33258324826305,95.14941598933366,97.4000015258789,99.97000122070312,92.26000213623047
