Symbol,RSI,MACD_Latest,MACD_1D,Signal_Latest,Signal_1D,Histogram_Trend,EMA20,EMA50,EMA100,Price_1W,Price_1M,Price_3M
HSCL.NS,53.959069732014825,0.9968923192220132,0.720519466925964,-1.717226335132682,-2.3957559987213557,-0.4021568112926248,454.4882776118956,457.14711208266635,461.5977712608688,476.75,459.79998779296875,450.5
ABCAPITAL.NS,57.17256255286966,9.708011821530363,10.221844282844131,9.826961857043473,9.85669936592175,-0.48409495243549117,347.68694474497454,329.42187632283515,306.1571909064485,358.75,329.6000061035156,289.70001220703125
BRIGADE.NS,36.452971019764384,-23.863544587374577,-24.19222170467617,-22.312574959021457,-21.92483255193318,0.7164195243898739,899.1306541761642,929.6698836915699,959.5592336448582,883.1500244140625,958.9000244140625,904.3499755859375
CRAFTSMAN.NS,54.15573993421442,68.25594774069214,69.4739489393196,70.86552902875844,71.51792435077502,-0.5656058766108885,6952.658203422546,6835.517451766022,6608.9094165315155,7102.5,7072.0,6773.5
ANANTRAJ.NS,18.519085280662978,-31.82291745067323,-30.75837099785963,-24.627057297593154,-22.828092259323135,0.7344185854564174,559.3450668267697,590.3043504542077,591.8803418925459,526.2999877929688,620.0,518.6500244140625
TARIL.NS,23.449321371976524,-39.94108974499119,-41.079174192986954,-42.547157544698536,-43.198674494625365,0.4865674980689363,279.8979559236884,351.53237136913407,407.26170923038933,236.89999389648438,296.6499938964844,496.5
HEG.NS,56.64879604654307,1.2323815291456413,0.6571076330700407,-1.0294379320107208,-1.594892797299811,0.009819030786510474,528.8629289979891,526.5115819830819,518.2307185794042,520.5,522.1500244140625,499.1000061035156
CENTURYPLY.NS,70.25349136512067,12.970050659278627,10.965533396640467,10.200413588652689,9.508004320996204,1.312107994981675,798.424443411187,784.1644203322671,774.2136698099318,801.5,763.75,787.2024536132812
EMCURE.NS,52.34603141341209,10.575441025258442,11.095234650496423,10.640864541009474,10.65722041994723,-0.5034377463002251,1392.7067098774573,1378.5217633373595,1357.4757388362432,1396.199951171875,1369.699951171875,1372.699951171875
IIFL.NS,54.56159807635536,10.90009286575139,11.404045170516838,13.635720907305998,14.31962791769465,0.17995470562320293,559.7307849224055,533.7220391282896,504.33003052240565,569.3499755859375,540.3499755859375,440.45001220703125
BLUEJET.NS,46.19176385140306,-17.080637408555162,-18.21449736980435,-18.307326830170265,-18.61399918557404,0.8271876058454097,566.2444222955969,606.1221512910518,657.5575515995781,544.5999755859375,581.0999755859375,729.4666748046875
GMDCLTD.NS,41.02320292034075,-17.70074966205175,-17.833944917898748,-15.339270064422832,-14.748900165015604,0.7235651552542279,523.4694411003376,536.3992071774531,510.0506856394936,514.4000244140625,594.1500244140625,512.86474609375
VENTIVE.NS,39.08090056979399,-5.775938801855432,-5.243137727162662,-3.8864486524918957,-3.414076115151011,-0.06042853735188558,721.7165035917448,728.5683848736286,732.6755742492376,727.7000122070312,723.75,749.6500244140625
PHOENIXLTD.NS,52.189608781941836,8.584469965520157,9.041409231750777,10.744963189176223,11.285086495090239,0.08318403968339538,1726.8637569260682,1694.1076661171962,1650.531446283203,1725.0999755859375,1732.199951171875,1553.00732421875
FEDERALBNK.NS,72.81860522365477,7.4107122843286675,7.570555689375482,7.923591074231786,8.051810771707565,-0.031623707571035276,252.90320087549432,238.24543839053396,224.61470962209532,259.20001220703125,238.94000244140625,191.6300048828125
ADVENTHTL.NS,47.090479836471324,-22.76903110122211,-24.48392768155807,-25.610484809635793,-26.320848236739213,1.0045331532325399,242.030363833058,276.622581680454,298.3063441320966,207.83999633789062,,
LATENTVIEW.NS,54.40832179361856,6.195350110891184,5.892731231722962,7.46127757352462,7.7777594391829785,0.6191007448265804,477.4327241582637,461.6427474408845,445.9185527490741,450.8999938964844,482.79998779296875,422.8500061035156
MANYAVAR.NS,33.135133883491775,-15.040468771253472,-14.268815998491391,-15.38887153938282,-15.475972231415154,-0.8587534647944164,609.8172588569,641.6017070456977,685.1057702835064,597.25,629.5999755859375,721.2000122070312
SARDAEN.NS,47.23203220024237,-12.197004506289886,-13.112130885795978,-13.756865432165283,-14.14683066363413,0.5251611480372436,494.0496171117803,514.0726236390782,517.2453916920815,475.8500061035156,525.5499877929688,584.4500122070312
FSL.NS,34.20167763693654,-2.6415686527129196,-2.1336100585860436,-0.6943905053352901,-0.20759596849088274,-0.02116405728246873,346.3890954413894,347.8549179062271,349.67242713438355,347.0,366.3500061035156,351.45001220703125
JUBLINGREA.NS,43.424663749704905,-4.61415830719875,-4.064900839380357,0.4140053102942354,1.6710462146674816,0.7077834365548537,690.4709892246269,693.522170967399,699.7994801102612,687.2999877929688,673.9000244140625,713.0
NEULANDLAB.NS,39.971999629697116,-75.78870235894647,-35.91732147727089,28.408168074664005,54.457385683066626,-13.822163273272949,16654.89914545619,16347.968994156388,15520.499570346903,16887.0,17577.0,14433.0
AIAENG.NS,38.60732874490004,63.38690876681494,79.82429586432636,100.40851010072515,109.66391043420269,-7.18198676403388,3713.986304802966,3552.727782156004,3427.522109502457,3765.800048828125,3603.199951171875,3033.300048828125
GODREJCP.NS,57.274198366713044,-1.9098584904174913,-2.945098944811207,-2.431245277287705,-2.561591974005258,0.9048937576761622,1134.0085963391891,1144.3724885526567,1161.7194796809254,1136.0,1135.9000244140625,1239.468505859375
IDBI.NS,29.056265968152545,-0.8909351822589144,-0.7155974835267074,-0.007939707650416877,0.21280916100170752,0.04541116991991734,97.9411285762829,97.32081842270392,95.14347533484205,97.4000015258789,99.97000122070312,92.26000213623047
