Symbol,5D_return,3M_return,1Y_return,score_short,score_medium,score_long,RSI,MACD,EMA_signal,RSI_score,MACD_score,EMA_score,combined_strength
FORCEMOT.NS,0.0212778293135436,-0.0277624461861132,1.54485152389791,0.9065040650406504,0.4268292682926829,1.0,56.91638967016108,78.87903664594342,17480.04996254009,0.8043912175648703,0.9720558882235528,0.9820359281437124,0.7760162601626016
LTF.NS,-0.0048661800486618,0.3110655143803831,1.140280177080807,0.5873983739837398,0.9735772357723578,0.9979674796747968,64.0949588933255,9.215153463579329,296.97362031547544,0.9121756487025948,0.7984031936127745,0.2035928143712574,0.8867886178861789
MUTHOOTFIN.NS,0.0008243844319239,0.2790919734120363,0.9710572796384724,0.6788617886178862,0.9654471544715448,0.9959349593495936,72.95579826795473,140.18318461756007,3611.993464240106,0.9820359281437124,0.9840319361277444,0.8642714570858283,0.9059959349593497
BSE.NS,-0.0319552403590253,0.2049549799573739,0.8904977980262118,0.1016260162601626,0.926829268292683,0.9939024390243902,57.57949081606949,97.856199168928,2784.261059524169,0.8203592814371258,0.9800399201596808,0.8183632734530938,0.7473577235772357
RBLBANK.NS,-0.0287089405197473,0.1073321421676017,0.8677466378433406,0.1300813008130081,0.8109756097560976,0.991869918699187,37.228521060308736,-0.971876924978062,311.3493402931489,0.3652694610778443,0.5728542914171657,0.2155688622754491,0.713109756097561
POWERINDIA.NS,0.0461968987980548,0.2100711026212459,0.8665989908577709,0.9715447154471544,0.9288617886178862,0.9898373983739838,66.87578419071518,857.4242731444392,21469.600906282067,0.940119760479042,1.0,0.9860279441117764,0.9639227642276422
ABCAPITAL.NS,0.0092395167022032,0.2254055403570461,0.7797162371659639,0.7947154471544715,0.9390243902439024,0.9878048780487804,73.81445426670618,10.587486667085273,339.95491288045673,0.9880239520958084,0.8183632734530938,0.2375249500998004,0.9224593495934958
LAURUSLABS.NS,0.0208332965755517,0.1359248586513051,0.7674260305914098,0.9004065040650406,0.8597560975609756,0.9857723577235772,58.67590239518219,19.91584298812711,994.4438608558648,0.8323353293413174,0.872255489021956,0.5429141716566867,0.9203252032520325
MANAPPURAM.NS,-0.0229301170415651,-0.0411171944469287,0.7183370314348493,0.2134146341463414,0.3821138211382114,0.983739837398374,55.92635592762018,0.8224496729417865,279.8205645902979,0.7844311377245509,0.6706586826347305,0.1916167664670658,0.5805894308943089
MCX.NS,-0.0127104417478056,0.3521644879458713,0.6619170630057527,0.4186991869918699,0.9878048780487804,0.9817073170731708,69.054203539823,306.8836861828386,9856.931110488016,0.9600798403193612,0.994011976047904,0.9620758483033932,0.8430894308943089
NAVINFLUOR.NS,0.0068875326939843,0.2117044440079668,0.6139482576653383,0.758130081300813,0.9308943089430894,0.9796747967479674,23.343527013251787,92.11401316803948,5778.839598174259,0.0898203592814371,0.9760479041916168,0.9161676646706588,0.9072154471544716
AUBANK.NS,0.0005806765335924,0.3588070766650381,0.595139540526841,0.6727642276422764,0.991869918699187,0.9776422764227642,76.1575156179764,28.30661228731151,920.6337246364232,0.9920159680638724,0.906187624750499,0.5169660678642715,0.9064024390243902
GVT&D.NS,0.0168789136361943,0.0717014459086705,0.5945313361502892,0.8617886178861789,0.733739837398374,0.975609756097561,40.05724100054362,-37.43817105255084,2952.5673884549287,0.4291417165668663,0.1177644710578842,0.8323353293413174,0.8625
AIIL.NS,-0.051789523699783,-0.1476264097395175,0.5692899294048279,0.0223577235772357,0.1158536585365853,0.9735772357723578,30.937635930668904,-89.26614510187892,2741.8231713486134,0.1956087824351297,0.0499001996007984,0.8143712574850299,0.4355691056910569
GRSE.NS,-0.0586292485424797,0.1190430071013206,0.5539705627542769,0.0121951219512195,0.8353658536585366,0.9715447154471544,41.87358702228188,10.411522188386698,2722.518954157997,0.4710578842315369,0.8143712574850299,0.812375249500998,0.6840447154471545
BAJFINANCE.NS,-0.0078352653063152,0.0815056144748306,0.5460066914541917,0.516260162601626,0.7642276422764228,0.9695121951219512,55.45704649556996,-3.402839426124274,1024.2188898085112,0.7744510978043913,0.4471057884231537,0.5588822355289421,0.7843495934959349
PTCIL.NS,0.0184066086378,0.354646017699115,0.5414373238673115,0.8739837398373984,0.9898373983739838,0.967479674796748,72.69180754226268,397.9455639574444,17697.18312524074,0.9800399201596808,0.996007984031936,0.9840319361277444,0.9519308943089431
GMDCLTD.NS,-0.0309139218410184,0.0452073219612185,0.5325405898523122,0.1158536585365853,0.6747967479674797,0.9654471544715448,39.00953595201822,-11.363676405802153,543.9398409045124,0.4011976047904191,0.2694610778443114,0.3752495009980039,0.6513211382113822
MAHSCOOTER.NS,-0.0259269393897934,-0.1796575237417521,0.518809421851356,0.1747967479674796,0.0711382113821138,0.9634146341463414,51.712887438825454,-401.31487570785976,14736.11192524132,0.6966067864271457,0.0099800399201596,0.9740518962075848,0.45396341463414636
NYKAA.NS,-0.0158580785736878,0.0793407096256109,0.5164648969738808,0.3455284552845528,0.758130081300813,0.9613821138211384,55.48589971472251,2.6564605567701847,262.8157816928778,0.7764471057884231,0.718562874251497,0.1736526946107784,0.7362804878048781
