Symbol,5D_return,3M_return,1Y_return,score_short,score_medium,score_long,RSI,MACD,EMA_signal,RSI_score,MACD_score,EMA_score,combined_strength
WOCKPHARMA.NS,0.154227705829564,-0.0085880936048464,0.0268604276560584,1.0,0.4593495934959349,0.5792682926829268,65.30792050558836,-13.18187012006888,1330.6828250433423,0.896,0.2455089820359281,0.6367265469061876,0.642479674796748
GMDCLTD.NS,0.1269337439944994,0.1008505656317341,0.6048487404416468,0.9979674796747968,0.782520325203252,0.9695121951219512,39.55974086296267,-13.554217934443727,545.1833750491013,0.322,0.2435129740518962,0.373253493013972,0.911178861788618
JMFINANCIL.NS,0.1141529801103475,-0.1463166857040853,0.1518252678884732,0.9959349593495936,0.0975609756097561,0.7357723577235772,61.47861635176863,-4.6848418628009085,150.41152339279506,0.842,0.4071856287425149,0.1017964071856287,0.5774390243902439
RELINFRA.NS,0.1070858837337903,-0.4110678562911213,-0.3922641471614363,0.9939024390243902,0.0060975609756097,0.0365853658536585,45.49611233695506,-14.231196970153944,177.96177303031428,0.454,0.2355289421157684,0.1277445109780439,0.2652439024390244
ZFCVINDIA.NS,0.0987721905059826,0.0389706426088885,0.1409506944381112,0.991869918699187,0.6463414634146342,0.7215447154471545,79.90235964198536,104.18465151580858,13021.937539639192,0.988,0.9740518962075848,0.9700598802395208,0.7628048780487804
PAYTM.NS,0.0920734046318081,0.0804973331717014,0.5131423993536453,0.9898373983739838,0.7357723577235772,0.943089430894309,54.08715291651886,9.189719710305551,1295.5388154831844,0.698,0.7944111776447106,0.6327345309381237,0.8822154471544716
ASHOKLEY.NS,0.0912021044007527,0.2251220923047427,0.4188668894950524,0.9878048780487804,0.9288617886178862,0.926829268292683,69.63302385417269,4.423623908103167,147.87661624808007,0.946,0.7564870259481038,0.0998003992015968,0.9427845528455285
HINDZINC.NS,0.0869000889733183,0.1424675774139969,0.0197812462997861,0.9857723577235772,0.8353658536585366,0.5670731707317073,56.94822487995308,0.3918636939705493,478.0662419368245,0.758,0.6387225548902196,0.3293413173652694,0.765650406504065
WELSPUNLIV.NS,0.086819660609965,0.2417120329714043,-0.0856558550685734,0.983739837398374,0.934959349593496,0.4004065040650406,55.56894029141132,3.11161987774986,135.3418838260646,0.728,0.720558882235529,0.0778443113772455,0.7333333333333334
FORCEMOT.NS,0.0866924679964275,0.0319487932305041,1.63138632021603,0.9817073170731708,0.6300813008130082,1.0,59.21052631578947,45.42117776834857,17421.065708624454,0.816,0.9481037924151696,0.9820359281437124,0.8659552845528455
LEMONTREE.NS,0.0866666666666666,-0.0694753570597618,0.2505754532740838,0.9796747967479674,0.2723577235772357,0.8272357723577236,54.10268115859791,-2.335175421715064,157.5459468625879,0.7,0.4810379241516966,0.1097804391217564,0.6711382113821138
NATCOPHARM.NS,0.0828536877529226,0.0609612890555004,-0.3580848247981313,0.9776422764227642,0.6971544715447154,0.0508130081300813,67.16252801512852,17.076243002861816,851.0423854096747,0.914,0.8562874251497006,0.4850299401197604,0.508739837398374
SAREGAMA.NS,0.0810191933271738,-0.1731032564676863,-0.213822094167841,0.975609756097561,0.0630081300813008,0.1930894308943089,45.1406599213177,-14.33417386125518,402.1116294532198,0.446,0.2335329341317365,0.2854291417165668,0.34319105691056906
VBL.NS,0.0739338895658491,0.0268285026450842,-0.2350720541278717,0.9735772357723578,0.6097560975609756,0.1666666666666666,57.68004201272052,1.9738184857457668,463.5025347771497,0.79,0.6906187624750499,0.3193612774451098,0.5234756097560975
NUVAMA.NS,0.0737898888490498,0.1716668812594059,0.1420689046983888,0.9715447154471544,0.8922764227642277,0.7235772357723578,57.25806451612903,86.85329897888369,7270.854286133702,0.778,0.9700598802395208,0.9441117764471058,0.8446138211382115
TEJASNET.NS,0.0707992429950732,-0.1322566728312261,-0.6213151959266996,0.9695121951219512,0.1077235772357723,0.0040650406504065,51.34894419832938,-15.390464148956085,512.6281544382526,0.648,0.2215568862275449,0.3512974051896207,0.2817073170731707
KPITTECH.NS,0.0678327645051194,0.0150040551500405,-0.0606694988108897,0.967479674796748,0.5772357723577236,0.4451219512195122,57.6343269144564,9.373490242087428,1201.7654052710254,0.784,0.7984031936127745,0.6107784431137725,0.6219512195121951
360ONE.NS,0.0667857578822544,0.1627389971161398,0.0556045669302208,0.9654471544715448,0.8800813008130082,0.6199186991869918,78.81318427584614,19.365904677568324,1129.2615431138918,0.984,0.8682634730538922,0.5868263473053892,0.7973577235772358
HINDCOPPER.NS,0.066520883763105,0.4054827945267384,0.2403290216968064,0.9634146341463414,0.9959349593495936,0.8130081300813008,39.77273436616768,-0.7156436702625797,330.5713657227592,0.324,0.564870259481038,0.2295409181636726,0.9146341463414634
RPOWER.NS,0.0645160661817147,-0.1560102297631603,0.0187805392924133,0.9613821138211384,0.0853658536585365,0.5609756097560976,41.31869440132534,-1.2604534817474686,40.44683526311468,0.348,0.5469061876247505,0.0179640718562874,0.4946138211382114
