Symbol,Latest Close,Close_1W,Close_1M,Close_3M,Close_6M,Close_1Y,Close_2Y,Close_3Y,Close_4Y,Close_5Y,RSI,MACD,Signal,Histogram
HSCL.NS,462.25,437.29998779296875,452.70001220703125,452.3500061035156,497.29998779296875,553.7999877929688,260.3500061035156,102.19999694824219,51.400001525878906,45.45000076293945,54.34296164458694,-0.45016722290591815,-3.9484189728173504,3.4982517499114323
ABCAPITAL.NS,357.1000061035156,356.1000061035156,338.1000061035156,288.8999938964844,240.22999572753906,198.9199981689453,171.0,125.80000305175781,108.25,67.5,67.58114208680965,9.998585075226117,9.602153255521614,0.39643181970450314
BRIGADE.NS,860.6500244140625,898.7999877929688,980.0,909.0,1252.699951171875,1297.0999755859375,750.25,478.95001220703125,489.0,182.8000030517578,30.35423984467856,-23.60377450693386,-20.463794959720282,-3.139979547213578
CRAFTSMAN.NS,6909.0,7044.0,6770.5,6837.0,5552.5,4969.75,5186.7001953125,3177.449951171875,2487.89990234375,,50.63577346173341,73.61163646292152,70.9252950198412,2.686341443080323
ANANTRAJ.NS,503.1499938964844,572.7000122070312,619.8499755859375,528.3499755859375,585.7999877929688,722.25,252.75,112.0,73.55000305175781,18.149999618530273,23.548038246757258,-27.14060711793229,-18.670381117980934,-8.470225999951356
TARIL.NS,240.25,264.5,391.8999938964844,503.6499938964844,516.0,489.9750061035156,99.32499694824219,29.075000762939453,15.225000381469727,4.349999904632568,22.91840284394368,-43.71691093440421,-44.08675984929821,0.36984891489399985
HEG.NS,521.2999877929688,522.0999755859375,549.5,491.1000061035156,523.5,581.6500244140625,316.6300048828125,199.3800048828125,434.5199890136719,137.61000061035156,47.7594487884335,-2.4260403134039734,-2.4116219767881653,-0.014418336615808158
CENTURYPLY.NS,788.75,813.7999877929688,748.3499755859375,795.75,773.8499755859375,772.4500122070312,639.8499755859375,580.0499877929688,674.5499877929688,180.60000610351562,50.97886838719711,9.630432804110342,9.153726766396028,0.4767060377143135
EMCURE.NS,1383.5,1434.0999755859375,1359.0,1370.699951171875,1332.4000244140625,1388.800048828125,,,,,50.12411816786817,9.84684197995307,10.44467785318684,-0.5978358732337714
IIFL.NS,554.6500244140625,587.4500122070312,526.2999877929688,447.3999938964844,487.45001220703125,437.79998779296875,603.2999877929688,419.70001220703125,338.95001220703125,83.19999694824219,52.09698808192233,13.224585322549615,15.693942232717966,-2.469356910168351
BLUEJET.NS,548.7999877929688,566.3499755859375,598.1500244140625,724.7000122070312,878.4000244140625,507.6499938964844,383.70001220703125,,,,37.192670706726624,-17.786538570030416,-18.992609562781254,1.2060709927508384
GMDCLTD.NS,489.79998779296875,551.8499755859375,600.2999877929688,539.1500244140625,414.25,356.6499938964844,412.54998779296875,141.64999389648438,70.75,42.25,37.63558423022488,-15.047251365794864,-13.529065064340578,-1.5181863014542856
VENTIVE.NS,713.5499877929688,718.2000122070312,720.7000122070312,725.0499877929688,746.4500122070312,,,,,,44.443776648471676,-3.6301582310418326,-2.5297614385088076,-1.100396792533025
PHOENIXLTD.NS,1721.0999755859375,1729.9000244140625,1773.300048828125,1529.699951171875,1615.800048828125,1762.3499755859375,1135.175048828125,740.2249755859375,543.7000122070312,275.7749938964844,51.078186367745296,8.61162689491016,12.523614277706809,-3.9119873827966494
FEDERALBNK.NS,257.45001220703125,256.6000061035156,237.25999450683594,190.6199951171875,212.6999969482422,215.44000244140625,147.14999389648438,134.9499969482422,100.19999694824219,52.70000076293945,73.26300019239414,7.932977451720205,8.249792651478216,-0.3168151997580111
ADVENTHTL.NS,196.77999877929688,221.22999572753906,,,,,,,,,9.612720492952207,-30.458176437391728,-26.61874062004509,-3.8394358173466365
LATENTVIEW.NS,497.3500061035156,483.3999938964844,436.54998779296875,428.25,415.25,482.29998779296875,458.1499938964844,376.29998779296875,,,58.723436383214306,5.094548124368714,8.607352046070357,-3.512803921701643
MANYAVAR.NS,588.6500244140625,618.75,639.5,731.5499877929688,803.75,1348.9000244140625,1304.75,1352.550048828125,,,29.501836852453124,-15.616194590778036,-16.233468398359225,0.6172738075811885
SARDAEN.NS,474.45001220703125,500.45001220703125,534.8499755859375,576.0999755859375,449.5,480.20001220703125,232.60000610351562,90.1449966430664,86.93000030517578,27.610000610351562,34.735026969486285,-14.8642820811084,-14.42987921160803,-0.434402869500369
FSL.NS,338.3999938964844,347.29998779296875,340.45001220703125,344.25,374.6499938964844,372.70001220703125,170.0500030517578,106.25,179.0500030517578,70.44999694824219,41.698057253983094,-1.0620691551412165,0.7275783116133736,-1.78964746675459
JUBLINGREA.NS,657.7999877929688,703.5499877929688,654.7999877929688,717.7000122070312,707.0,790.5499877929688,431.29998779296875,569.9000244140625,642.4000244140625,,34.93110033241942,-1.0338200666833472,4.391619033900756,-5.425439100584104
NEULANDLAB.NS,16078.0,16587.0,17837.0,14449.0,12714.0,17791.150390625,5174.10009765625,1807.699951171875,1650.3499755859375,1226.800048828125,42.87241598453505,1.9420614867995027,96.937183167707,-94.9951216809075
AIAENG.NS,3659.5,3854.10009765625,3256.199951171875,3022.300048828125,3509.300048828125,3496.5,3499.699951171875,2575.050048828125,1897.75,1694.9000244140625,49.53624069020383,98.59001923864798,122.8780601499991,-24.288040911351118
GODREJCP.NS,1121.5999755859375,1129.4000244140625,1121.800048828125,1229.9000244140625,1217.5999755859375,1228.5,1010.8499755859375,838.8499755859375,950.6500244140625,676.0499877929688,44.36820940538356,-3.801246091968551,-3.304875035814664,-0.49637105615388677
IDBI.NS,94.77999877929688,100.12999725341797,100.41999816894531,92.2699966430664,101.31999969482422,86.9000015258789,60.650001525878906,46.70000076293945,53.29999923706055,35.849998474121094,38.36144503035313,-0.20321392965227858,0.6678366758066938,-0.8710506054589724
INDIAMART.NS,2273.39990234375,2330.800048828125,2447.5,2574.60009765625,2472.10009765625,2365.39990234375,2593.85009765625,2291.625,3755.824951171875,2426.22509765625,34.82379734603636,-36.93523336955559,-29.00808075007139,-7.9271526194842
MAHSEAMLES.NS,564.7999877929688,589.3499755859375,548.5499877929688,637.0999755859375,684.3499755859375,665.7999877929688,921.5,402.42498779296875,252.14999389648438,110.75,44.945542929965036,-1.2416487527029858,-1.3148977949382057,0.07324904223521989
GRANULES.NS,543.9500122070312,568.75,554.6500244140625,519.25,536.5999755859375,543.0499877929688,370.1000061035156,364.75,317.1000061035156,376.04998779296875,43.5041003008727,1.3019610823705534,1.1033202277052674,0.19864085466528603
NIVABUPA.NS,75.41999816894531,73.86000061035156,76.02999877929688,83.2300033569336,83.31999969482422,98.30999755859375,,,,,49.27500505955051,-0.6290535231829608,-0.624168228341104,-0.0048852948418568465
CHENNPETRO.NS,929.4500122070312,911.5499877929688,1016.2999877929688,702.4000244140625,655.9000244140625,646.3499755859375,600.7999877929688,204.10000610351562,116.19999694824219,73.44999694824219,47.55260890649536,2.260184908609858,17.688590717855167,-15.428405809245309
MUTHOOTFIN.NS,3775.699951171875,3811.10009765625,3230.0,2900.89990234375,2539.89990234375,1947.800048828125,1331.800048828125,1083.25,1686.449951171875,1157.3499755859375,64.97453502396947,124.40457749281722,132.70598652999553,-8.301409037178303
KIRLOSENG.NS,1096.800048828125,1118.0999755859375,964.3499755859375,863.0999755859375,911.8499755859375,1100.800048828125,541.75,343.8999938964844,200.85000610351562,99.9000015258789,51.918344913444955,32.04406202816517,41.537284002140524,-9.493221973975352
AKUMS.NS,418.3500061035156,424.75,460.3500061035156,465.6499938964844,560.7999877929688,618.7000122070312,,,,,39.095612835580305,-8.535995991683876,-8.930306422181632,0.3943104304977556
MAHABANK.NS,56.220001220703125,57.650001525878906,59.619998931884766,53.06999969482422,56.849998474121094,58.91999816894531,43.54999923706055,23.100000381469727,20.899999618530273,11.149999618530273,40.5369676397902,-0.3844838050338879,-0.012911198381493502,-0.3715726066523944
JPPOWER.NS,18.290000915527344,18.770000457763672,17.610000610351562,20.020000457763672,17.729999542236328,19.989999771118164,13.699999809265137,7.349999904632568,4.650000095367432,2.4000000953674316,45.50835688231307,0.14872304766523214,0.24380764879037714,-0.095084601125145
GODREJPROP.NS,1975.0999755859375,2096.5,2142.699951171875,1964.300048828125,2467.300048828125,2900.25,1852.3499755859375,1289.699951171875,2292.800048828125,978.3499755859375,30.18176497059021,-35.451889442164884,-24.894326354531763,-10.55756308763312
INDIANB.NS,779.0999755859375,887.3499755859375,873.9500122070312,670.4500122070312,651.7999877929688,604.0999755859375,412.75,271.6000061035156,172.3000030517578,58.70000076293945,33.26654943042813,-6.319091199884724,7.417420872803219,-13.736512072687944
RHIM.NS,444.0,464.1499938964844,471.1499938964844,468.75,448.3500061035156,559.9000244140625,739.6500244140625,626.75,349.79998779296875,194.14999389648438,37.75125199304512,-4.52531018772379,-1.3019732775407553,-3.2233369101830345
CHOLAFIN.NS,1724.4000244140625,1724.9000244140625,1703.9000244140625,1494.0,1644.5999755859375,1292.25,1115.0,697.5,639.5,293.6499938964844,54.79402438357871,7.132775309265526,7.721055303554916,-0.5882799942893904
KPIL.NS,1154.4000244140625,1181.199951171875,1295.9000244140625,1264.300048828125,1149.800048828125,1149.6500244140625,653.5999755859375,,,,31.79797077271678,-24.101868460526248,-17.97093888592196,-6.130929574604288
YESBANK.NS,21.899999618530273,22.450000762939453,22.850000381469727,20.18000030517578,21.020000457763672,21.229999542236328,20.149999618530273,16.950000762939453,13.25,12.25,40.77401679079933,-0.03413436016051463,0.045467865330005366,-0.07960222549052
AUBANK.NS,952.5499877929688,950.5,908.7000122070312,699.75,772.0,595.6500244140625,719.2999877929688,610.9000244140625,600.7000122070312,389.79998779296875,67.1309411567554,25.841474488351423,28.091775305863766,-2.2503008175123433
