Symbol,fundamental_score,score_short,score_medium,score_long,combined_strength
ETERNAL.NS,30,10,10,100,46.0
CDSL.NS,30,30,50,50,45.0
PHOENIXLTD.NS,30,30,50,50,45.0
TITAN.NS,30,30,50,50,45.0
STARHEALTH.NS,40,30,50,50,45.0
APOLLOTYRE.NS,40,30,50,50,45.0
ELGIEQUIP.NS,30,30,50,50,45.0
HINDZINC.NS,45,30,50,50,45.0
BEL.NS,30,30,50,50,45.0
J&KBANK.NS,80,30,50,50,45.0
TIMKEN.NS,30,30,50,50,45.0
MAHABANK.NS,80,30,50,50,45.0
ESCORTS.NS,40,30,50,50,45.0
IDBI.NS,80,30,50,50,45.0
LT.NS,30,30,50,50,45.0
NUVAMA.NS,30,30,50,50,45.0
CRAFTSMAN.NS,30,50,10,70,44.0
INTELLECT.NS,30,50,50,30,42.0
SIEMENS.NS,20,50,50,30,42.0
ANGELONE.NS,30,50,70,10,41.0
PRESTIGE.NS,30,10,30,70,41.0
FORTIS.NS,30,10,30,70,41.0
SAILIFE.NS,30,10,30,70,41.0
ANANTRAJ.NS,30,10,50,50,40.0
SBILIFE.NS,30,10,50,50,40.0
TATASTEEL.NS,40,10,50,50,40.0
ITI.NS,20,10,50,50,40.0
ADANIGREEN.NS,30,10,50,50,40.0
SAIL.NS,65,10,50,50,40.0
NSLNISP.NS,40,10,50,50,40.0
JINDALSTEL.NS,40,10,50,50,40.0
HEG.NS,40,10,50,50,40.0
ASTRAZEN.NS,30,10,50,50,40.0
TATACOMM.NS,30,10,50,50,40.0
MRF.NS,40,10,50,50,40.0
CEATLTD.NS,40,10,70,30,39.0
NBCC.NS,30,10,70,30,39.0
JYOTICNC.NS,30,70,50,10,39.0
ALKEM.NS,30,30,30,50,38.0
BAJAJ-AUTO.NS,30,30,30,50,38.0
HDFCBANK.NS,55,30,30,50,38.0
HCLTECH.NS,30,30,50,30,37.0
BERGEPAINT.NS,30,30,50,30,37.0
LTTS.NS,30,50,30,30,35.0
COROMANDEL.NS,30,50,30,30,35.0
NATCOPHARM.NS,80,50,30,30,35.0
DCMSHRIRAM.NS,40,10,10,70,34.0
CGCL.NS,55,10,10,70,34.0
JSL.NS,55,10,10,70,34.0
SONACOMS.NS,30,50,50,10,34.0
METROPOLIS.NS,30,10,10,70,34.0
BOSCHLTD.NS,30,10,10,70,34.0
GPIL.NS,55,10,10,70,34.0
CREDITACC.NS,40,10,10,70,34.0
AIIL.NS,70,10,10,70,34.0
GLAND.NS,40,10,10,70,34.0
JMFINANCIL.NS,80,10,10,70,34.0
HYUNDAI.NS,30,10,10,70,34.0
SWIGGY.NS,20,10,10,70,34.0
DELHIVERY.NS,40,10,10,70,34.0
NAVA.NS,65,10,10,70,34.0
GRAVITA.NS,30,50,50,10,34.0
CHOICEIN.NS,30,10,30,50,33.0
LICI.NS,60,10,30,50,33.0
VOLTAS.NS,30,10,30,50,33.0
BRITANNIA.NS,30,10,30,50,33.0
SOBHA.NS,40,10,30,50,33.0
CAMPUS.NS,30,10,50,30,32.0
ONGC.NS,80,10,50,30,32.0
ICICIGI.NS,30,10,50,30,32.0
CESC.NS,65,10,50,30,32.0
NESTLEIND.NS,30,10,50,30,32.0
CENTRALBK.NS,80,10,50,30,32.0
GRAPHITE.NS,50,10,50,30,32.0
BAJAJFINSV.NS,30,10,50,30,32.0
NMDC.NS,70,10,50,30,32.0
KOTAKBANK.NS,55,10,50,30,32.0
TATACONSUM.NS,30,10,50,30,32.0
DABUR.NS,30,30,10,50,31.0
INDIGO.NS,30,30,10,50,31.0
HONASA.NS,30,30,10,50,31.0
VIJAYA.NS,30,30,10,50,31.0
PNBHOUSING.NS,80,10,70,10,31.0
HINDUNILVR.NS,30,30,10,50,31.0
INFY.NS,45,30,30,30,30.0
JBCHEPHARM.NS,30,30,30,30,30.0
GICRE.NS,80,30,50,10,29.0
UNITDSPR.NS,30,30,50,10,29.0
PGEL.NS,30,30,50,10,29.0
AJANTPHARM.NS,30,50,10,30,28.0
IPCALAB.NS,30,50,30,10,27.0
TECHM.NS,30,50,30,10,27.0
ENDURANCE.NS,30,10,10,50,26.0
PVRINOX.NS,40,10,10,50,26.0
KPIL.NS,55,10,10,50,26.0
KAJARIACER.NS,30,10,10,50,26.0
RAMCOCEM.NS,40,10,10,50,26.0
LEMONTREE.NS,30,10,10,50,26.0
AMBER.NS,30,10,10,50,26.0
HDFCAMC.NS,30,10,10,50,26.0
SCHNEIDER.NS,30,10,10,50,26.0
MAHSCOOTER.NS,50,10,10,50,26.0
JIOFIN.NS,50,10,10,50,26.0
GODIGIT.NS,30,10,10,50,26.0
LALPATHLAB.NS,20,10,10,50,26.0
JKCEMENT.NS,30,10,10,50,26.0
BLUESTARCO.NS,30,10,10,50,26.0
WELCORP.NS,70,10,10,50,26.0
ERIS.NS,30,10,10,50,26.0
VMM.NS,30,10,10,50,26.0
AADHARHFC.NS,55,10,10,50,26.0
MEDANTA.NS,30,10,10,50,26.0
WAAREEENER.NS,30,10,10,50,26.0
MPHASIS.NS,30,10,10,50,26.0
DIVISLAB.NS,30,10,30,30,25.0
JUBLPHARMA.NS,40,10,30,30,25.0
CHOLAHLDNG.NS,55,10,30,30,25.0
SRF.NS,30,10,30,30,25.0
NLCINDIA.NS,80,10,30,30,25.0
IOB.NS,55,10,30,30,25.0
CAMS.NS,30,10,30,30,25.0
VTL.NS,80,10,50,10,24.0
SBICARD.NS,30,10,50,10,24.0
GODREJPROP.NS,40,10,50,10,24.0
