Symbol,fundamental_score
ALKYLAMINE.NS,20
ASIANPAINT.NS,30
ACE.NS,30
TVSMOTOR.NS,30
COROMANDEL.NS,30
NMDC.NS,70
PATANJALI.NS,30
NTPC.NS,65
RAMCOCEM.NS,40
BIKAJI.NS,30
TRITURBINE.NS,30
IRFC.NS,55
CGPOWER.NS,30
NIACL.NS,65
JINDALSAW.NS,80
HAL.NS,30
RAINBOW.NS,30
3MINDIA.NS,30
CROMPTON.NS,30
AXISBANK.NS,65
MOTILALOFS.NS,30
POLYCAB.NS,30
UNITDSPR.NS,30
OLECTRA.NS,30
BHARATFORG.NS,30
SYNGENE.NS,30
NTPCGREEN.NS,30
GVT&D.NS,30
GRASIM.NS,50
BLUEDART.NS,30
UCOBANK.NS,80
CERA.NS,30
CESC.NS,65
OLAELEC.NS,20
MGL.NS,80
IFCI.NS,50
ULTRACEMCO.NS,30
CCL.NS,30
SUPREMEIND.NS,30
TIMKEN.NS,30
MARUTI.NS,30
LINDEINDIA.NS,30
SRF.NS,30
MAXHEALTH.NS,30
ABFRL.NS,40
CAMS.NS,30
OIL.NS,80
PGHH.NS,20
BASF.NS,20
FORTIS.NS,30
CHOICEIN.NS,30
IGIL.NS,20
ADANIPORTS.NS,30
VMM.NS,30
ICICIGI.NS,30
PFC.NS,80
GILLETTE.NS,20
ASTRAZEN.NS,30
ONGC.NS,80
CHALET.NS,30
FIRSTCRY.NS,30
HAVELLS.NS,30
HEXT.NS,30
HYUNDAI.NS,30
KALYANKJIL.NS,30
MRPL.NS,40
ALOKINDS.NS,0
CANFINHOME.NS,70
UTIAMC.NS,40
LAURUSLABS.NS,30
CONCOR.NS,40
KIMS.NS,30
NESTLEIND.NS,30
MRF.NS,40
APOLLOHOSP.NS,30
KAJARIACER.NS,30
INOXWIND.NS,40
HINDUNILVR.NS,30
DALBHARAT.NS,40
GLAND.NS,40
EXIDEIND.NS,40
HDFCAMC.NS,30
RVNL.NS,30
GRAPHITE.NS,50
INDIGO.NS,30
CONCORDBIO.NS,30
ARE&M.NS,55
ITCHOTELS.NS,30
AARTIIND.NS,40
UBL.NS,30
SOLARINDS.NS,30
HFCL.NS,40
OFSS.NS,30
JKTYRE.NS,55
WIPRO.NS,55
ASTRAL.NS,30
PGEL.NS,30
360ONE.NS,30
COALINDIA.NS,70
IREDA.NS,55
CAPLIPOINT.NS,45
TITAN.NS,30
LLOYDSME.NS,30
TECHNOE.NS,40
PAGEIND.NS,30
HCLTECH.NS,30
SUNPHARMA.NS,30
CDSL.NS,30
GAIL.NS,80
POLICYBZR.NS,30
JSWINFRA.NS,30
BALRAMCHIN.NS,55
TIINDIA.NS,30
