Symbol,5D_return,3M_return,1Y_return,score_short,score_medium,score_long,RSI,MACD,EMA_signal,RSI_score,MACD_score,EMA_score,combined_strength
SHRIRAMFIN.NS,0.01711896878728,0.4477559934349868,0.3988492362957017,0.7113821138211383,1.0,0.91869918699187,59.38784170900649,34.121321103559694,816.4533445272309,0.818,0.9241516966067864,0.4750499001996008,0.8953252032520326
CANBK.NS,0.0173515487839969,0.4118910316801459,0.5405557380183884,0.7134146341463414,0.9979674796747968,0.9532520325203252,74.59716085362415,5.203527983722239,145.30431733087534,0.964,0.7644710578842315,0.0938123752495009,0.9089430894308943
HINDCOPPER.NS,0.066520883763105,0.4054827945267384,0.2403290216968064,0.9634146341463414,0.9959349593495936,0.8130081300813008,39.77273436616768,-0.7156436702625797,330.5713657227592,0.324,0.564870259481038,0.2295409181636726,0.9146341463414634
CUB.NS,0.0158132585510403,0.3902633264052164,0.5505333860134334,0.6849593495934959,0.9939024390243902,0.9634146341463414,60.45810558598319,10.930766825633157,264.2228343599983,0.832,0.8143712574850299,0.1736526946107784,0.9044715447154471
IDEA.NS,-0.0059701908933309,0.381742703286793,0.2065217503978538,0.2947154471544715,0.991869918699187,0.7886178861788617,43.71858622183543,0.2275397151194571,9.982924460447824,0.426,0.626746506986028,0.0019960079840319,0.736280487804878
BHEL.NS,0.028985551021368,0.3707854834566517,0.1684826531665355,0.8272357723577236,0.9898373983739838,0.7621951219512195,57.01530393785627,10.184681925313384,279.1945373851744,0.766,0.8083832335329342,0.1916167664670658,0.858130081300813
AUBANK.NS,0.0072560104969737,0.3695809320647843,0.6369889159591842,0.5487804878048781,0.9878048780487804,0.9776422764227642,76.06583445235344,30.048463181438137,914.198362470654,0.97,0.9101796407185628,0.5149700598802395,0.8739837398373984
IIFL.NS,0.0623430184390987,0.3612644239403735,0.3804639411649284,0.959349593495935,0.9857723577235772,0.9085365853658536,71.73083579144216,18.00533502799408,550.9278945507826,0.954,0.8602794411177644,0.3772455089820359,0.9482723577235772
PTCIL.NS,0.0253971805773103,0.3494809688581315,0.5411260728606788,0.8008130081300813,0.983739837398374,0.9552845528455284,66.33702531645571,376.8350331789843,17562.398275634863,0.906,0.996007984031936,0.9840319361277444,0.9266260162601625
FEDERALBNK.NS,0.0043361091704074,0.3494646249106694,0.237116824909114,0.4939024390243902,0.9817073170731708,0.8089430894308943,81.12763289456029,8.686794650334946,244.96047615288427,0.992,0.7924151696606786,0.1536926147704591,0.7906504065040652
LTF.NS,0.0429437529879012,0.3433256747021504,1.189076398502258,0.9105691056910568,0.9796747967479674,0.9979674796747968,64.71187225179357,9.85245327715188,294.9585599482174,0.884,0.8003992015968064,0.2035928143712574,0.9697154471544716
MUTHOOTFIN.NS,0.035204025939627,0.3428944399527944,0.9930457256275932,0.8760162601626016,0.9776422764227642,0.9959349593495936,73.75011985227587,146.39000135642982,3576.781049784943,0.96,0.9880239520958084,0.8622754491017964,0.9595528455284553
M&MFIN.NS,-0.0005550498227931,0.337356146385565,0.3305586197379244,0.3943089430894309,0.975609756097561,0.8821138211382114,68.43024449009253,16.704111971775035,337.04105883593394,0.932,0.8522954091816367,0.2375249500998004,0.7928861788617886
MCX.NS,0.0306070740853349,0.3370587075142988,0.6143978772479726,0.8434959349593496,0.9735772357723578,0.9735772357723578,67.61186264308012,304.5028513522466,9765.279732235933,0.922,0.994011976047904,0.9620758483033932,0.9410569105691058
INDIANB.NS,0.0162639017341646,0.3357922285178302,0.5618068435554929,0.6971544715447154,0.9715447154471544,0.9654471544715448,56.929633919392,15.907176501428694,865.4782258299301,0.756,0.846307385229541,0.4890219560878243,0.9005081300813008
ADANIENSOL.NS,0.0334534225424601,0.3239269892825691,0.2441140024783147,0.8638211382113821,0.9695121951219512,0.8191056910569106,54.987995934059455,12.785176116362663,984.8713771268294,0.712,0.8243512974051896,0.5389221556886228,0.8829268292682926
BANKINDIA.NS,-0.0023097043758755,0.3046992583756784,0.382115188183845,0.3658536585365853,0.967479674796748,0.9126016260162602,54.31885268160818,3.4454298123934564,144.76121123028346,0.702,0.7285429141716567,0.091816367265469,0.7951219512195122
JKTYRE.NS,0.0262621128941704,0.3022119501433432,0.1920126499732687,0.806910569105691,0.9654471544715448,0.7764227642276422,50.15441639950418,8.657245353955943,445.8388734860913,0.618,0.7904191616766467,0.3093812375249501,0.8502032520325203
CHENNPETRO.NS,-0.1053690389401066,0.2976224096338221,0.4588100885453707,0.0040650406504065,0.9634146341463414,0.9329268292682928,34.6178219850746,16.37143226495573,963.4474616998808,0.214,0.8502994011976048,0.530938123752495,0.7113821138211383
ASAHIINDIA.NS,0.0256011421772528,0.2945792788570003,0.5481869778434512,0.8028455284552846,0.9613821138211384,0.9613821138211384,70.88726039148673,30.0174701861049,994.710786873505,0.95,0.908183632734531,0.5449101796407185,0.9217479674796749
