Symbol,Weekly_StdDev,Weekly_ATR,Weekly_WoW,Trend_13W
HSCL.NS,6.7269253348046965,12.287506103515625,-3.5867868072397746,-1.58441153835649
ABCAPITAL.NS,4.8939807442031755,9.824996948242188,-1.1567927237587108,22.63531509202187
BRIGADE.NS,5.164727413118887,27.300003051757812,-1.0700347557937264,-6.790416070488363
CRAFTSMAN.NS,4.708439095060739,252.375,-1.1052446321717706,3.6446805371108155
ANANTRAJ.NS,7.117378280384881,25.625,-4.208625196700089,-21.275769101077227
TARIL.NS,8.397657897009418,13.774993896484375,0.3799110082150127,-55.45147836459166
HEG.NS,6.860928572466928,19.650009155273438,2.49759846301633,2.330492947737701
CENTURYPLY.NS,4.573115518558496,33.600006103515625,4.9282595134123515,3.1775273205528163
EMCURE.NS,5.528256953069588,39.32501220703125,1.3608366039586732,5.415266381517691
IIFL.NS,6.917135343447129,19.312515258789062,-0.07024912550398092,25.30558914285292
BLUEJET.NS,6.834201475491014,21.550003051757812,1.5699686396287413,-18.58856214936451
GMDCLTD.NS,7.5599347882184,25.1875,-2.8868654580662154,-12.67371760284672
VENTIVE.NS,6.303299195306969,19.5250244140625,-2.418584076660222,-7.689310941054599
PHOENIXLTD.NS,4.808368392007716,49.32501220703125,1.0608109145621725,6.970178683429252
FEDERALBNK.NS,3.955105269851405,4.862495422363281,0.6944397022369901,31.871464437468994
ADVENTHTL.NS,12.239412327711937,25.177501678466797,7.7319128210978905,
LATENTVIEW.NS,5.01081205966628,36.037506103515625,8.5052132673836,15.22609349202953
MANYAVAR.NS,4.201599920703554,21.337493896484375,-2.411054736552951,-18.77221301631401
SARDAEN.NS,6.246160650097314,17.762489318847656,2.1645450584964596,-15.253207843397618
FSL.NS,5.419107203128179,10.187507629394531,-1.8587931432366713,-9.37998966072865
JUBLINGREA.NS,6.045192824379996,44.88751220703125,-0.807505876842899,1.1723714031737014
NEULANDLAB.NS,7.7921341700998346,748.0,-4.5774856398412975,4.183099502165902
AIAENG.NS,3.702717141553312,154.0250244140625,-3.3060703804160556,18.420116572011125
GODREJCP.NS,3.7874859643136403,22.9000244140625,0.915495106871699,-7.0608104731330865
IDBI.NS,6.345063451226814,2.7900009155273438,-2.381929834167201,1.4078494717889392
INDIAMART.NS,4.972059916032643,50.3499755859375,-3.187162873392958,-9.349697819639243
MAHSEAMLES.NS,5.334492992539959,18.574996948242188,-3.3490667694522345,-12.40291598857891
GRANULES.NS,4.740606417214412,20.750015258789062,0.9717415430637135,4.214199917197065
NIVABUPA.NS,5.527035461088969,1.664999008178711,1.047899575243758,-9.879839118764643
CHENNPETRO.NS,7.419822321613004,36.4375,-0.4686781777374742,24.434261505052582
MUTHOOTFIN.NS,3.9972742009562254,58.824951171875,-1.652589332235158,27.339949340132346
KIRLOSENG.NS,6.620153340838937,47.749969482421875,-1.2469134283167271,15.762185550160437
AKUMS.NS,7.408316905260347,8.875007629394531,1.9404747372581843,-10.146905792972849
MAHABANK.NS,5.956303821814286,1.397500991821289,0.947702562066658,0.3489196859809342
