Symbol,Latest_Close,Price_1D,Price_1W,Price_1M,Price_3M,Price_6M,Price_1Y,Return_1D,Return_1W,Return_1M,Return_3M,Return_6M,Return_1Y
HSCL.NS,459.6499938964844,463.5,476.75,459.79998779296875,450.5,497.29998779296875,564.6853637695312,-0.830637778536273,-3.5867868072397746,-0.03262155295052156,2.0310752267445893,-7.5708817254502865,-18.600689270904432
ABCAPITAL.NS,354.6000061035156,358.95001220703125,358.75,329.6000061035156,289.70001220703125,225.1999969482422,200.1300048828125,-1.2118696073498603,-1.1567927237587108,7.584951315852946,22.402482278842374,57.460040368034946,77.18482858737454
BRIGADE.NS,873.7000122070312,875.5499877929688,883.1500244140625,958.9000244140625,904.3499755859375,1257.96337890625,1276.76513671875,-0.21129297147279985,-1.0700347557937264,-8.885181983293082,-3.389170587310275,-30.54646686402912,-31.569245816625653
CRAFTSMAN.NS,7024.0,6972.0,7102.5,7072.0,6773.5,5501.86279296875,5083.71533203125,0.7458405048766494,-1.1052446321717706,-0.6787330316742082,3.6982357717575844,27.66585180889108,38.16666633049828
ANANTRAJ.NS,504.1499938964844,508.8999938964844,526.2999877929688,620.0,518.6500244140625,569.8640747070312,737.0628051757812,-0.9333857451305452,-4.208625196700089,-18.685484855405747,-2.795725409240909,-11.531535979756342,-31.600130903871857
TARIL.NS,237.8000030517578,240.5500030517578,236.89999389648438,296.6499938964844,496.5,533.7999877929688,522.5332641601562,-1.1432134546297628,0.3799110082150127,-19.8381904788652,-52.104732517269326,-55.45147836459166,-54.49093495818628
HEG.NS,533.5,547.0999755859375,520.5,522.1500244140625,499.1000061035156,522.6378784179688,570.9158935546875,-2.485830048040505,2.49759846301633,2.1737000967631905,6.89240502420464,2.078326510682889,-6.553661227002339
CENTURYPLY.NS,841.0,828.9000244140625,801.5,763.75,787.2024536132812,783.7568359375,798.088623046875,1.4597629665279355,4.9282595134123515,10.11456628477905,6.834016603960838,7.3036892870003385,5.376768408162691
EMCURE.NS,1415.199951171875,1409.0999755859375,1396.199951171875,1369.699951171875,1372.699951171875,1319.7708740234375,1366.0751953125,0.43289870780112566,1.3608366039586732,3.321895423962857,3.0960881118789083,7.230730653837933,3.596050644059703
IIFL.NS,568.9500122070312,563.1500244140625,569.3499755859375,540.3499755859375,440.45001220703125,429.20001220703125,442.75,1.0299187679168496,-0.07024912550398092,5.292872751605258,29.174706876747514,32.560576893131454,28.503672999894125
BLUEJET.NS,553.1500244140625,538.0,544.5999755859375,581.0999755859375,729.4666748046875,922.0278930664062,502.6157531738281,2.815989668041357,1.5699686396287413,-4.80983519981951,-24.170624441182763,-40.007235293669844,10.05425534737612
GMDCLTD.NS,499.54998779296875,486.95001220703125,514.4000244140625,594.1500244140625,512.86474609375,375.5445861816406,359.7414855957031,2.5875295759476242,-2.8868654580662154,-15.921910752151563,-2.596153937698684,33.02015424377603,38.86360283572909
VENTIVE.NS,710.0999755859375,709.8499755859375,727.7000122070312,723.75,749.6500244140625,735.75,,0.03521870938907061,-2.418584076660222,-1.8860137359671847,-5.275801712810975,-3.486241850365274,
PHOENIXLTD.NS,1743.4000244140625,1737.800048828125,1725.0999755859375,1732.199951171875,1553.00732421875,1559.29736328125,1860.66357421875,0.3222451046490538,1.0608109145621725,0.6465808542836167,12.259613797448814,11.806770502414167,-6.302243534483325
FEDERALBNK.NS,261.0,259.6000061035156,259.20001220703125,238.94000244140625,191.6300048828125,205.82403564453125,213.05027770996094,0.5392888534548519,0.6944397022369901,9.232442175103511,36.19996521923032,26.8073474425312,22.50629419752088
ADVENTHTL.NS,223.91000366210938,238.5399932861328,207.83999633789062,,,,,-6.133139111173913,7.7319128210978905,,,,
LATENTVIEW.NS,489.25,474.6000061035156,450.8999938964844,482.79998779296875,422.8500061035156,409.20001220703125,494.8500061035156,3.0868086194859945,8.5052132673836,1.335959480139238,15.70296628545616,19.562557528094143,-1.1316572768404054
MANYAVAR.NS,582.8499755859375,592.5999755859375,597.25,629.5999755859375,721.2000122070312,801.9464721679688,1362.7647705078125,-1.6452920016339214,-2.411054736552951,-7.425349716141919,-19.183310354878127,-27.320588616061798,-57.23033144093183
SARDAEN.NS,486.1499938964844,489.0,475.8500061035156,525.5499877929688,584.4500122070312,441.2425537109375,486.2795104980469,-0.582823334052275,2.1645450584964596,-7.496907013915738,-16.819234538013117,10.177495304536334,-0.026634188520476478
FSL.NS,340.54998779296875,338.1000061035156,347.0,366.3500061035156,351.45001220703125,374.0,377.11737060546875,0.7246322523587939,-1.8587931432366713,-7.042450629373495,-3.1014437431976933,-8.943853531291778,-9.69655223088515
JUBLINGREA.NS,681.75,665.3499755859375,687.2999877929688,673.9000244140625,713.0,710.674560546875,780.1027221679688,2.464871874327476,-0.807505876842899,1.164857590376679,-4.38288920056101,-4.070014905925028,-12.607662987592013
NEULANDLAB.NS,16114.0,16299.0,16887.0,17577.0,14433.0,11734.2822265625,16816.7734375,-1.1350389594453647,-4.5774856398412975,-8.323377140581442,11.64692025219982,37.32412165375808,-4.179002827812819
AIAENG.NS,3641.300048828125,3691.39990234375,3765.800048828125,3603.199951171875,3033.300048828125,3500.492431640625,3460.402099609375,-1.3572047147700121,-3.3060703804160556,1.0573961526575466,20.044175986971442,4.022508830893421,5.227656902623268
GODREJCP.NS,1146.4000244140625,1130.5,1136.0,1135.9000244140625,1239.468505859375,1204.5615234375,1115.1436767578125,1.406459479350951,0.915495106871699,0.9243771260077462,-7.508741126163933,-4.828437393339608,2.8028987033424455
